Date,Package,Version,Count
2024-02-07T06:17:07Z,charts/falco,4.1.1,1
2024-02-08T06:17:54Z,charts/falco,4.1.1,1
2024-02-09T06:17:19Z,charts/falco,4.1.1,1
2024-02-10T06:16:34Z,charts/falco,4.1.1,3
2024-02-11T06:17:25Z,charts/falco,4.1.1,4
2024-02-12T06:18:11Z,charts/falco,4.1.1,5
2024-02-13T06:19:08Z,charts/falco,4.1.1,5
2024-02-14T06:18:10Z,charts/falco,4.1.1,6
2024-02-15T06:17:52Z,charts/falco,4.1.1,6
2024-02-16T06:17:19Z,charts/falco,4.1.1,7
2024-02-17T06:17:07Z,charts/falco,4.1.1,7
2024-02-18T06:16:56Z,charts/falco,4.1.1,8
2024-02-19T06:18:51Z,charts/falco,4.1.1,8
2024-02-20T06:18:10Z,charts/falco,4.1.1,9
2024-02-21T06:17:28Z,charts/falco,4.1.1,9
2024-02-22T06:17:56Z,charts/falco,4.1.1,9
