Date,Package,Version,Count
2023-12-19T06:18:18Z,charts/falcosidekick,0.7.10,2
2023-12-20T06:15:08Z,charts/falcosidekick,0.7.10,2
2023-12-21T06:18:18Z,charts/falcosidekick,0.7.10,3
2023-12-22T06:18:21Z,charts/falcosidekick,0.7.10,3
2023-12-23T06:17:18Z,charts/falcosidekick,0.7.10,4
2023-12-24T06:17:11Z,charts/falcosidekick,0.7.10,4
2023-12-25T06:18:42Z,charts/falcosidekick,0.7.10,5
2023-12-26T06:18:05Z,charts/falcosidekick,0.7.10,6
2023-12-27T06:18:19Z,charts/falcosidekick,0.7.10,6
2023-12-28T06:18:01Z,charts/falcosidekick,0.7.10,7
2023-12-29T06:18:30Z,charts/falcosidekick,0.7.10,7
2023-12-30T06:16:59Z,charts/falcosidekick,0.7.10,7
2023-12-31T06:16:54Z,charts/falcosidekick,0.7.10,8
2024-01-01T06:19:19Z,charts/falcosidekick,0.7.10,9
2024-01-02T06:18:14Z,charts/falcosidekick,0.7.10,9
2024-01-03T06:18:22Z,charts/falcosidekick,0.7.10,9
2024-01-04T06:18:51Z,charts/falcosidekick,0.7.10,10
2024-01-05T06:18:35Z,charts/falcosidekick,0.7.10,10
2024-01-06T06:17:07Z,charts/falcosidekick,0.7.10,11
2024-01-07T06:17:42Z,charts/falcosidekick,0.7.10,11
2024-01-08T06:19:09Z,charts/falcosidekick,0.7.10,12
2024-01-09T06:18:40Z,charts/falcosidekick,0.7.10,13
2024-01-10T06:18:56Z,charts/falcosidekick,0.7.10,14
2024-01-11T06:18:47Z,charts/falcosidekick,0.7.10,15
2024-01-12T06:18:53Z,charts/falcosidekick,0.7.10,15
2024-01-13T06:17:17Z,charts/falcosidekick,0.7.10,15
2024-01-14T06:17:58Z,charts/falcosidekick,0.7.10,16
2024-01-15T06:19:45Z,charts/falcosidekick,0.7.10,16
2024-01-16T06:19:07Z,charts/falcosidekick,0.7.10,17
2024-01-17T06:18:59Z,charts/falcosidekick,0.7.10,17
2024-01-18T06:19:15Z,charts/falcosidekick,0.7.10,18
2024-01-19T06:19:08Z,charts/falcosidekick,0.7.10,18
2024-01-20T06:17:28Z,charts/falcosidekick,0.7.10,19
2024-01-21T06:18:13Z,charts/falcosidekick,0.7.10,19
2024-01-22T06:19:58Z,charts/falcosidekick,0.7.10,19
2024-01-23T06:19:17Z,charts/falcosidekick,0.7.10,19
2024-01-24T06:19:33Z,charts/falcosidekick,0.7.10,19
2024-01-25T06:19:08Z,charts/falcosidekick,0.7.10,20
2024-01-26T06:17:53Z,charts/falcosidekick,0.7.10,20
2024-01-27T06:15:31Z,charts/falcosidekick,0.7.10,20
2024-01-28T06:16:13Z,charts/falcosidekick,0.7.10,21
2024-01-29T06:17:39Z,charts/falcosidekick,0.7.10,22
2024-01-30T06:18:02Z,charts/falcosidekick,0.7.10,23
2024-01-31T06:17:28Z,charts/falcosidekick,0.7.10,24
