Date,Package,Version,Count
2023-10-20,charts/event-generator,0.3.1,1
2023-10-21,charts/event-generator,0.3.1,1
2023-10-22,charts/event-generator,0.3.1,1
2023-10-23,charts/event-generator,0.3.1,1
2023-10-24,charts/event-generator,0.3.1,1
2023-10-25,charts/event-generator,0.3.1,1
2023-10-26,charts/event-generator,0.3.1,1
2023-10-27,charts/event-generator,0.3.1,1
2023-10-28,charts/event-generator,0.3.1,1
2023-10-29,charts/event-generator,0.3.1,1
2023-10-30,charts/event-generator,0.3.1,1
2023-10-31,charts/event-generator,0.3.1,1
2023-11-01,charts/event-generator,0.3.1,2
2023-11-02,charts/event-generator,0.3.1,2
2023-11-03,charts/event-generator,0.3.1,3
2023-11-04,charts/event-generator,0.3.1,4
2023-11-05,charts/event-generator,0.3.1,4
2023-11-06,charts/event-generator,0.3.1,4
2023-11-07,charts/event-generator,0.3.1,5
2023-11-08,charts/event-generator,0.3.1,6
2023-11-09,charts/event-generator,0.3.1,7
2023-11-10,charts/event-generator,0.3.1,7
2023-11-11,charts/event-generator,0.3.1,8
2023-11-12,charts/event-generator,0.3.1,9
2023-11-13,charts/event-generator,0.3.1,9
2023-11-14,charts/event-generator,0.3.1,11
2023-11-15,charts/event-generator,0.3.1,11
2023-11-16,charts/event-generator,0.3.1,12
2023-11-17,charts/event-generator,0.3.1,12
2023-11-18,charts/event-generator,0.3.1,13
2023-11-19,charts/event-generator,0.3.1,13
2023-11-20,charts/event-generator,0.3.1,14
2023-11-21,charts/event-generator,0.3.1,15
2023-11-22,charts/event-generator,0.3.1,16
2023-11-23,charts/event-generator,0.3.1,16
2023-11-24,charts/event-generator,0.3.1,17
2023-11-25,charts/event-generator,0.3.1,17
2023-11-26,charts/event-generator,0.3.1,18
2023-11-27,charts/event-generator,0.3.1,19
2023-11-28,charts/event-generator,0.3.1,19
2023-11-29,charts/event-generator,0.3.1,20
2023-11-30,charts/event-generator,0.3.1,21
2023-12-01,charts/event-generator,0.3.1,21
2023-12-02,charts/event-generator,0.3.1,22
2023-12-03,charts/event-generator,0.3.1,22
2023-12-04,charts/event-generator,0.3.1,23
2023-12-05,charts/event-generator,0.3.1,23
2023-12-06,charts/event-generator,0.3.1,24
2023-12-07,charts/event-generator,0.3.1,25
2023-12-08,charts/event-generator,0.3.1,25
2023-12-09,charts/event-generator,0.3.1,26
2023-12-10,charts/event-generator,0.3.1,26
2023-12-11,charts/event-generator,0.3.1,27
2023-12-12,charts/event-generator,0.3.1,27
2023-12-13,charts/event-generator,0.3.1,27
2023-12-14,charts/event-generator,0.3.1,28
