Date,Package,Version,Count
2024-10-10,charts/falco-talon,0.1.1,0
2024-10-11,charts/falco-talon,0.1.1,0
2024-10-12,charts/falco-talon,0.1.1,0
2024-10-13,charts/falco-talon,0.1.1,0
2024-10-14,charts/falco-talon,0.1.1,0
2024-10-15,charts/falco-talon,0.1.1,0
2024-10-16,charts/falco-talon,0.1.1,0
2024-10-17,charts/falco-talon,0.1.1,0
2024-10-18,charts/falco-talon,0.1.1,0
2024-10-19,charts/falco-talon,0.1.1,0
2024-10-20,charts/falco-talon,0.1.1,0
2024-10-21,charts/falco-talon,0.1.1,0
2024-10-22,charts/falco-talon,0.1.1,0
2024-10-23,charts/falco-talon,0.1.1,0
2024-10-24,charts/falco-talon,0.1.1,0
2024-10-25,charts/falco-talon,0.1.1,0
2024-10-26,charts/falco-talon,0.1.1,0
2024-10-27,charts/falco-talon,0.1.1,0
2024-10-28,charts/falco-talon,0.1.1,0
2024-10-29,charts/falco-talon,0.1.1,0
2024-10-30,charts/falco-talon,0.1.1,0
2024-10-31,charts/falco-talon,0.1.1,0
2024-11-01,charts/falco-talon,0.1.1,0
2024-11-02,charts/falco-talon,0.1.1,0
2024-11-03,charts/falco-talon,0.1.1,0
2024-11-04,charts/falco-talon,0.1.1,0
2024-11-05,charts/falco-talon,0.1.1,0
2024-11-06,charts/falco-talon,0.1.1,0
2024-11-07,charts/falco-talon,0.1.1,0
2024-11-08,charts/falco-talon,0.1.1,0
2024-11-09,charts/falco-talon,0.1.1,0
2024-11-10,charts/falco-talon,0.1.1,0
2024-11-11,charts/falco-talon,0.1.1,0
2024-11-12,charts/falco-talon,0.1.1,0
2024-11-13,charts/falco-talon,0.1.1,0
2024-11-14,charts/falco-talon,0.1.1,0
2024-11-15,charts/falco-talon,0.1.1,0
2024-11-16,charts/falco-talon,0.1.1,0
2024-11-17,charts/falco-talon,0.1.1,0
2024-11-18,charts/falco-talon,0.1.1,0
2024-11-19,charts/falco-talon,0.1.1,0
2024-11-20,charts/falco-talon,0.1.1,0
2024-11-21,charts/falco-talon,0.1.1,0
2024-11-22,charts/falco-talon,0.1.1,0
2024-11-23,charts/falco-talon,0.1.1,0
2024-11-24,charts/falco-talon,0.1.1,0
2024-11-25,charts/falco-talon,0.1.1,0
2024-11-26,charts/falco-talon,0.1.1,0
2024-11-27,charts/falco-talon,0.1.1,0
2024-11-28,charts/falco-talon,0.1.1,0
2024-11-29,charts/falco-talon,0.1.1,0
2024-11-30,charts/falco-talon,0.1.1,0
2024-12-01,charts/falco-talon,0.1.1,0
2024-12-02,charts/falco-talon,0.1.1,0
2024-12-03,charts/falco-talon,0.1.1,0
2024-12-04,charts/falco-talon,0.1.1,0
2024-12-05,charts/falco-talon,0.1.1,0
2024-12-06,charts/falco-talon,0.1.1,0
2024-12-07,charts/falco-talon,0.1.1,0
2024-12-08,charts/falco-talon,0.1.1,0
2024-12-09,charts/falco-talon,0.1.1,0
2024-12-10,charts/falco-talon,0.1.1,0
2024-12-11,charts/falco-talon,0.1.1,0
