Date,Package,Version,Count
2023-10-20,charts/falcosidekick,0.7.5,1
2023-10-21,charts/falcosidekick,0.7.5,1
2023-10-21,charts/falcosidekick,0.7.6,1
2023-10-22,charts/falcosidekick,0.7.5,1
2023-10-22,charts/falcosidekick,0.7.6,1
2023-10-23,charts/falcosidekick,0.7.5,1
2023-10-23,charts/falcosidekick,0.7.6,1
2023-10-24,charts/falcosidekick,0.7.5,1
2023-10-24,charts/falcosidekick,0.7.6,1
2023-10-24,charts/falcosidekick,0.7.7,1
2023-10-25,charts/falcosidekick,0.7.5,1
2023-10-25,charts/falcosidekick,0.7.6,1
2023-10-25,charts/falcosidekick,0.7.7,1
2023-10-25,charts/falcosidekick,0.7.8,1
2023-10-26,charts/falcosidekick,0.7.5,1
2023-10-26,charts/falcosidekick,0.7.6,1
2023-10-26,charts/falcosidekick,0.7.7,1
2023-10-26,charts/falcosidekick,0.7.8,1
2023-10-27,charts/falcosidekick,0.7.5,1
2023-10-27,charts/falcosidekick,0.7.6,1
2023-10-27,charts/falcosidekick,0.7.7,1
2023-10-27,charts/falcosidekick,0.7.8,1
2023-10-28,charts/falcosidekick,0.7.5,1
2023-10-28,charts/falcosidekick,0.7.6,1
2023-10-28,charts/falcosidekick,0.7.7,1
2023-10-28,charts/falcosidekick,0.7.8,1
2023-10-29,charts/falcosidekick,0.7.5,1
2023-10-29,charts/falcosidekick,0.7.6,1
2023-10-29,charts/falcosidekick,0.7.7,1
2023-10-29,charts/falcosidekick,0.7.8,1
2023-10-30,charts/falcosidekick,0.7.5,1
2023-10-30,charts/falcosidekick,0.7.6,1
2023-10-30,charts/falcosidekick,0.7.7,1
2023-10-30,charts/falcosidekick,0.7.8,1
2023-10-31,charts/falcosidekick,0.7.5,1
2023-10-31,charts/falcosidekick,0.7.6,1
2023-10-31,charts/falcosidekick,0.7.7,1
2023-10-31,charts/falcosidekick,0.7.8,1
2023-11-01,charts/falcosidekick,0.7.5,2
2023-11-01,charts/falcosidekick,0.7.6,2
2023-11-01,charts/falcosidekick,0.7.7,2
2023-11-01,charts/falcosidekick,0.7.8,2
2023-11-02,charts/falcosidekick,0.7.5,2
2023-11-02,charts/falcosidekick,0.7.6,2
2023-11-02,charts/falcosidekick,0.7.7,2
2023-11-02,charts/falcosidekick,0.7.8,2
2023-11-03,charts/falcosidekick,0.7.5,3
2023-11-03,charts/falcosidekick,0.7.6,3
2023-11-03,charts/falcosidekick,0.7.7,3
2023-11-03,charts/falcosidekick,0.7.8,3
2023-11-04,charts/falcosidekick,0.7.5,3
2023-11-04,charts/falcosidekick,0.7.6,3
2023-11-04,charts/falcosidekick,0.7.7,3
2023-11-04,charts/falcosidekick,0.7.8,3
2023-11-05,charts/falcosidekick,0.7.5,4
2023-11-05,charts/falcosidekick,0.7.6,4
2023-11-05,charts/falcosidekick,0.7.7,4
2023-11-05,charts/falcosidekick,0.7.8,4
2023-11-06,charts/falcosidekick,0.7.5,4
2023-11-06,charts/falcosidekick,0.7.6,4
2023-11-06,charts/falcosidekick,0.7.7,4
2023-11-06,charts/falcosidekick,0.7.8,4
2023-11-07,charts/falcosidekick,0.7.5,5
2023-11-07,charts/falcosidekick,0.7.6,5
2023-11-07,charts/falcosidekick,0.7.7,5
2023-11-07,charts/falcosidekick,0.7.8,5
2023-11-08,charts/falcosidekick,0.7.5,6
2023-11-08,charts/falcosidekick,0.7.6,6
2023-11-08,charts/falcosidekick,0.7.7,6
2023-11-08,charts/falcosidekick,0.7.8,6
2023-11-09,charts/falcosidekick,0.7.5,6
2023-11-09,charts/falcosidekick,0.7.6,6
2023-11-09,charts/falcosidekick,0.7.7,6
2023-11-09,charts/falcosidekick,0.7.8,6
2023-11-10,charts/falcosidekick,0.7.5,7
2023-11-10,charts/falcosidekick,0.7.6,7
2023-11-10,charts/falcosidekick,0.7.7,7
2023-11-10,charts/falcosidekick,0.7.8,7
2023-11-11,charts/falcosidekick,0.7.5,7
2023-11-11,charts/falcosidekick,0.7.6,7
2023-11-11,charts/falcosidekick,0.7.7,7
2023-11-11,charts/falcosidekick,0.7.8,7
2023-11-12,charts/falcosidekick,0.7.5,8
2023-11-12,charts/falcosidekick,0.7.6,8
