Date,Package,Version,Count
2023-03-29,plugin/cloudtrail,0.7.0,782
2023-03-30,plugin/cloudtrail,0.7.0,806
2023-03-31,plugin/cloudtrail,0.7.0,854
2023-03-31,plugin/cloudtrail,0.7.1,1
2023-04-01,plugin/cloudtrail,0.7.0,854
2023-04-01,plugin/cloudtrail,0.7.1,1
2023-04-02,plugin/cloudtrail,0.7.0,854
2023-04-02,plugin/cloudtrail,0.7.1,1
2023-04-03,plugin/cloudtrail,0.7.0,854
2023-04-03,plugin/cloudtrail,0.7.1,1
2023-04-04,plugin/cloudtrail,0.7.0,874
2023-04-04,plugin/cloudtrail,0.7.1,1
2023-04-05,plugin/cloudtrail,0.7.0,880
2023-04-05,plugin/cloudtrail,0.7.1,1
2023-04-06,plugin/cloudtrail,0.7.0,892
2023-04-06,plugin/cloudtrail,0.7.1,3
2023-04-07,plugin/cloudtrail,0.7.0,916
2023-04-07,plugin/cloudtrail,0.7.1,3
2023-04-08,plugin/cloudtrail,0.7.0,922
2023-04-08,plugin/cloudtrail,0.7.1,3
2023-04-09,plugin/cloudtrail,0.7.0,922
2023-04-09,plugin/cloudtrail,0.7.1,3
2023-04-10,plugin/cloudtrail,0.7.0,922
2023-04-10,plugin/cloudtrail,0.7.1,3
2023-04-11,plugin/cloudtrail,0.7.0,922
2023-04-11,plugin/cloudtrail,0.7.1,3
2023-04-12,plugin/cloudtrail,0.7.0,922
2023-04-12,plugin/cloudtrail,0.7.1,3
2023-04-13,plugin/cloudtrail,0.7.0,942
2023-04-13,plugin/cloudtrail,0.7.1,3
2023-04-13,plugin/cloudtrail,0.7.2,25
2023-04-14,plugin/cloudtrail,0.7.0,968
2023-04-14,plugin/cloudtrail,0.7.1,3
2023-04-14,plugin/cloudtrail,0.7.2,25
2023-04-14,plugin/cloudtrail,0.7.3,7
2023-04-15,plugin/cloudtrail,0.7.0,968
2023-04-15,plugin/cloudtrail,0.7.1,3
2023-04-15,plugin/cloudtrail,0.7.2,25
2023-04-15,plugin/cloudtrail,0.7.3,7
2023-04-16,plugin/cloudtrail,0.7.0,968
2023-04-16,plugin/cloudtrail,0.7.1,3
2023-04-16,plugin/cloudtrail,0.7.2,25
2023-04-16,plugin/cloudtrail,0.7.3,7
2023-04-17,plugin/cloudtrail,0.7.0,968
2023-04-17,plugin/cloudtrail,0.7.1,3
2023-04-17,plugin/cloudtrail,0.7.2,25
2023-04-17,plugin/cloudtrail,0.7.3,7
2023-04-18,plugin/cloudtrail,0.7.0,968
2023-04-18,plugin/cloudtrail,0.7.1,3
2023-04-18,plugin/cloudtrail,0.7.2,25
2023-04-18,plugin/cloudtrail,0.7.3,10
2023-04-19,plugin/cloudtrail,0.7.0,968
2023-04-19,plugin/cloudtrail,0.7.1,3
2023-04-19,plugin/cloudtrail,0.7.2,25
2023-04-19,plugin/cloudtrail,0.7.3,10
2023-04-20,plugin/cloudtrail,0.7.0,968
2023-04-20,plugin/cloudtrail,0.7.1,3
2023-04-20,plugin/cloudtrail,0.7.2,25
2023-04-20,plugin/cloudtrail,0.7.3,10
2023-04-21,plugin/cloudtrail,0.7.0,989
2023-04-21,plugin/cloudtrail,0.7.1,3
2023-04-21,plugin/cloudtrail,0.7.2,25
2023-04-21,plugin/cloudtrail,0.7.3,10
2023-04-22,plugin/cloudtrail,0.7.0,1025
2023-04-22,plugin/cloudtrail,0.7.1,3
2023-04-22,plugin/cloudtrail,0.7.2,25
2023-04-22,plugin/cloudtrail,0.7.3,10
2023-04-23,plugin/cloudtrail,0.7.0,1025
2023-04-23,plugin/cloudtrail,0.7.1,3
2023-04-23,plugin/cloudtrail,0.7.2,25
2023-04-23,plugin/cloudtrail,0.7.3,12
2023-04-24,plugin/cloudtrail,0.7.0,1207
2023-04-24,plugin/cloudtrail,0.7.1,3
2023-04-24,plugin/cloudtrail,0.7.2,25
2023-04-24,plugin/cloudtrail,0.7.3,12
2023-04-25,plugin/cloudtrail,0.7.0,1498
2023-04-25,plugin/cloudtrail,0.7.1,3
2023-04-25,plugin/cloudtrail,0.7.2,25
2023-04-25,plugin/cloudtrail,0.7.3,12
2023-04-26,plugin/cloudtrail,0.7.0,1501
2023-04-26,plugin/cloudtrail,0.7.1,3
2023-04-26,plugin/cloudtrail,0.7.2,25
2023-04-26,plugin/cloudtrail,0.7.3,12
2023-04-28,plugin/cloudtrail,0.7.0,1516
2023-04-28,plugin/cloudtrail,0.7.1,3
2023-04-28,plugin/cloudtrail,0.7.2,25
2023-04-28,plugin/cloudtrail,0.7.3,19
2023-04-29,plugin/cloudtrail,0.7.0,1519
2023-04-29,plugin/cloudtrail,0.7.1,3
2023-04-29,plugin/cloudtrail,0.7.2,25
2023-04-29,plugin/cloudtrail,0.7.3,19
2023-04-30,plugin/cloudtrail,0.7.0,1519
2023-04-30,plugin/cloudtrail,0.7.1,3
2023-04-30,plugin/cloudtrail,0.7.2,25
2023-04-30,plugin/cloudtrail,0.7.3,19
2023-05-01,plugin/cloudtrail,0.7.0,1519
2023-05-01,plugin/cloudtrail,0.7.1,3
2023-05-01,plugin/cloudtrail,0.7.2,25
2023-05-01,plugin/cloudtrail,0.7.3,19
2023-05-02,plugin/cloudtrail,0.7.0,1525
2023-05-02,plugin/cloudtrail,0.7.1,3
2023-05-02,plugin/cloudtrail,0.7.2,25
2023-05-02,plugin/cloudtrail,0.7.3,19
2023-05-03,plugin/cloudtrail,0.7.0,1540
2023-05-03,plugin/cloudtrail,0.7.1,3
2023-05-03,plugin/cloudtrail,0.7.2,25
2023-05-03,plugin/cloudtrail,0.7.3,19
2023-05-04,plugin/cloudtrail,0.7.0,1543
2023-05-04,plugin/cloudtrail,0.7.1,3
2023-05-04,plugin/cloudtrail,0.7.2,25
2023-05-04,plugin/cloudtrail,0.7.3,19
2023-05-05,plugin/cloudtrail,0.7.0,1543
2023-05-05,plugin/cloudtrail,0.7.1,3
2023-05-05,plugin/cloudtrail,0.7.2,25
2023-05-05,plugin/cloudtrail,0.7.3,65
2023-05-06,plugin/cloudtrail,0.7.0,1552
2023-05-06,plugin/cloudtrail,0.7.1,3
2023-05-06,plugin/cloudtrail,0.7.2,25
2023-05-06,plugin/cloudtrail,0.7.3,68
2023-05-07,plugin/cloudtrail,0.7.0,1552
2023-05-07,plugin/cloudtrail,0.7.1,3
2023-05-07,plugin/cloudtrail,0.7.2,25
2023-05-07,plugin/cloudtrail,0.7.3,68
2023-05-08,plugin/cloudtrail,0.7.0,1552
2023-05-08,plugin/cloudtrail,0.7.1,3
2023-05-08,plugin/cloudtrail,0.7.2,25
2023-05-08,plugin/cloudtrail,0.7.3,68
2023-05-09,plugin/cloudtrail,0.7.0,1555
2023-05-09,plugin/cloudtrail,0.7.1,3
2023-05-09,plugin/cloudtrail,0.7.2,25
2023-05-09,plugin/cloudtrail,0.7.3,70
2023-05-10,plugin/cloudtrail,0.7.0,1579
2023-05-10,plugin/cloudtrail,0.7.1,3
2023-05-10,plugin/cloudtrail,0.7.2,25
2023-05-10,plugin/cloudtrail,0.7.3,70
2023-05-11,plugin/cloudtrail,0.7.0,1582
2023-05-11,plugin/cloudtrail,0.7.1,3
2023-05-11,plugin/cloudtrail,0.7.2,25
2023-05-11,plugin/cloudtrail,0.7.3,76
2023-05-12,plugin/cloudtrail,0.7.0,1585
2023-05-12,plugin/cloudtrail,0.7.1,3
2023-05-12,plugin/cloudtrail,0.7.2,25
2023-05-12,plugin/cloudtrail,0.7.3,86
2023-05-13,plugin/cloudtrail,0.7.0,1585
2023-05-13,plugin/cloudtrail,0.7.1,3
2023-05-13,plugin/cloudtrail,0.7.2,25
2023-05-13,plugin/cloudtrail,0.7.3,108
2023-05-14,plugin/cloudtrail,0.7.0,1585
2023-05-14,plugin/cloudtrail,0.7.1,3
2023-05-14,plugin/cloudtrail,0.7.2,25
2023-05-14,plugin/cloudtrail,0.7.3,108
2023-05-15,plugin/cloudtrail,0.7.0,1585
2023-05-15,plugin/cloudtrail,0.7.1,3
2023-05-15,plugin/cloudtrail,0.7.2,25
2023-05-15,plugin/cloudtrail,0.7.3,108
2023-05-16,plugin/cloudtrail,0.7.0,1585
2023-05-16,plugin/cloudtrail,0.7.1,3
2023-05-16,plugin/cloudtrail,0.7.2,25
2023-05-16,plugin/cloudtrail,0.7.3,108
2023-05-17,plugin/cloudtrail,0.7.0,1585
2023-05-17,plugin/cloudtrail,0.7.1,3
2023-05-17,plugin/cloudtrail,0.7.2,25
2023-05-17,plugin/cloudtrail,0.7.3,108
2023-05-18,plugin/cloudtrail,0.7.0,1585
2023-05-18,plugin/cloudtrail,0.7.1,3
2023-05-18,plugin/cloudtrail,0.7.2,25
2023-05-18,plugin/cloudtrail,0.7.3,116
2023-05-19,plugin/cloudtrail,0.7.0,1585
2023-05-19,plugin/cloudtrail,0.7.1,3
2023-05-19,plugin/cloudtrail,0.7.2,25
2023-05-19,plugin/cloudtrail,0.7.3,116
2023-05-20,plugin/cloudtrail,0.7.0,1609
2023-05-20,plugin/cloudtrail,0.7.1,3
2023-05-20,plugin/cloudtrail,0.7.2,25
2023-05-20,plugin/cloudtrail,0.7.3,117
2023-05-21,plugin/cloudtrail,0.7.0,1609
2023-05-21,plugin/cloudtrail,0.7.1,3
2023-05-21,plugin/cloudtrail,0.7.2,25
2023-05-21,plugin/cloudtrail,0.7.3,117
2023-05-22,plugin/cloudtrail,0.7.0,1609
2023-05-22,plugin/cloudtrail,0.7.1,3
2023-05-22,plugin/cloudtrail,0.7.2,25
2023-05-22,plugin/cloudtrail,0.7.3,117
2023-05-23,plugin/cloudtrail,0.7.0,1609
2023-05-23,plugin/cloudtrail,0.7.1,3
2023-05-23,plugin/cloudtrail,0.7.2,25
2023-05-23,plugin/cloudtrail,0.7.3,130
2023-05-24,plugin/cloudtrail,0.7.0,1609
2023-05-24,plugin/cloudtrail,0.7.1,3
2023-05-24,plugin/cloudtrail,0.7.2,25
2023-05-24,plugin/cloudtrail,0.7.3,131
2023-05-25,plugin/cloudtrail,0.7.0,1609
2023-05-25,plugin/cloudtrail,0.7.1,3
2023-05-25,plugin/cloudtrail,0.7.2,25
2023-05-25,plugin/cloudtrail,0.7.3,137
2023-05-26,plugin/cloudtrail,0.7.0,1609
2023-05-26,plugin/cloudtrail,0.7.1,3
2023-05-26,plugin/cloudtrail,0.7.2,25
2023-05-26,plugin/cloudtrail,0.7.3,137
2023-05-27,plugin/cloudtrail,0.7.0,1609
2023-05-27,plugin/cloudtrail,0.7.1,3
2023-05-27,plugin/cloudtrail,0.7.2,25
2023-05-27,plugin/cloudtrail,0.7.3,137
2023-05-28,plugin/cloudtrail,0.7.0,1609
2023-05-28,plugin/cloudtrail,0.7.1,3
2023-05-28,plugin/cloudtrail,0.7.2,25
2023-05-28,plugin/cloudtrail,0.7.3,137
2023-05-29,plugin/cloudtrail,0.7.0,1609
2023-05-29,plugin/cloudtrail,0.7.1,3
2023-05-29,plugin/cloudtrail,0.7.2,25
2023-05-29,plugin/cloudtrail,0.7.3,137
2023-05-30,plugin/cloudtrail,0.7.0,1609
2023-05-30,plugin/cloudtrail,0.7.1,3
2023-05-30,plugin/cloudtrail,0.7.2,25
2023-05-30,plugin/cloudtrail,0.7.3,139
2023-05-31,plugin/cloudtrail,0.7.0,1609
2023-05-31,plugin/cloudtrail,0.7.1,3
2023-05-31,plugin/cloudtrail,0.7.2,25
2023-05-31,plugin/cloudtrail,0.7.3,139
2023-06-01,plugin/cloudtrail,0.7.0,1609
2023-06-01,plugin/cloudtrail,0.7.1,3
2023-06-01,plugin/cloudtrail,0.7.2,25
2023-06-01,plugin/cloudtrail,0.7.3,139
2023-06-02,plugin/cloudtrail,0.7.0,1609
2023-06-02,plugin/cloudtrail,0.7.1,3
2023-06-02,plugin/cloudtrail,0.7.2,25
2023-06-02,plugin/cloudtrail,0.7.3,139
2023-06-03,plugin/cloudtrail,0.7.0,1609
2023-06-03,plugin/cloudtrail,0.7.1,3
2023-06-03,plugin/cloudtrail,0.7.2,25
2023-06-03,plugin/cloudtrail,0.7.3,139
2023-06-04,plugin/cloudtrail,0.7.0,1609
2023-06-04,plugin/cloudtrail,0.7.1,3
2023-06-04,plugin/cloudtrail,0.7.2,25
2023-06-04,plugin/cloudtrail,0.7.3,139
2023-06-05,plugin/cloudtrail,0.7.0,1609
2023-06-05,plugin/cloudtrail,0.7.1,3
2023-06-05,plugin/cloudtrail,0.7.2,25
2023-06-05,plugin/cloudtrail,0.7.3,139
2023-06-06,plugin/cloudtrail,0.7.0,1609
2023-06-06,plugin/cloudtrail,0.7.1,3
2023-06-06,plugin/cloudtrail,0.7.2,25
2023-06-06,plugin/cloudtrail,0.7.3,140
2023-06-07,plugin/cloudtrail,0.7.0,1619
2023-06-07,plugin/cloudtrail,0.7.1,3
2023-06-07,plugin/cloudtrail,0.7.2,25
2023-06-07,plugin/cloudtrail,0.7.3,140
2023-06-08,plugin/cloudtrail,0.7.0,1619
2023-06-08,plugin/cloudtrail,0.7.1,3
2023-06-08,plugin/cloudtrail,0.7.2,25
2023-06-08,plugin/cloudtrail,0.7.3,140
2023-06-08,plugin/cloudtrail,0.8.0,9
2023-06-09,plugin/cloudtrail,0.7.0,1619
2023-06-09,plugin/cloudtrail,0.7.1,3
2023-06-09,plugin/cloudtrail,0.7.2,25
2023-06-09,plugin/cloudtrail,0.7.3,140
2023-06-09,plugin/cloudtrail,0.8.0,17
2023-06-10,plugin/cloudtrail,0.7.0,1619
2023-06-10,plugin/cloudtrail,0.7.1,3
2023-06-10,plugin/cloudtrail,0.7.2,25
2023-06-10,plugin/cloudtrail,0.7.3,140
2023-06-10,plugin/cloudtrail,0.8.0,108
2023-06-11,plugin/cloudtrail,0.7.0,1619
2023-06-11,plugin/cloudtrail,0.7.1,3
2023-06-11,plugin/cloudtrail,0.7.2,25
2023-06-11,plugin/cloudtrail,0.7.3,140
2023-06-11,plugin/cloudtrail,0.8.0,108
2023-06-12,plugin/cloudtrail,0.7.0,1619
2023-06-12,plugin/cloudtrail,0.7.1,3
2023-06-12,plugin/cloudtrail,0.7.2,25
2023-06-12,plugin/cloudtrail,0.7.3,140
2023-06-12,plugin/cloudtrail,0.8.0,108
2023-06-13,plugin/cloudtrail,0.7.0,1619
2023-06-13,plugin/cloudtrail,0.7.1,3
2023-06-13,plugin/cloudtrail,0.7.2,25
2023-06-13,plugin/cloudtrail,0.7.3,140
2023-06-13,plugin/cloudtrail,0.8.0,169
2023-06-14,plugin/cloudtrail,0.7.0,1619
2023-06-14,plugin/cloudtrail,0.7.1,3
2023-06-14,plugin/cloudtrail,0.7.2,25
2023-06-14,plugin/cloudtrail,0.7.3,140
2023-06-14,plugin/cloudtrail,0.8.0,346
2023-06-15,plugin/cloudtrail,0.7.0,1619
2023-06-15,plugin/cloudtrail,0.7.1,3
2023-06-15,plugin/cloudtrail,0.7.2,25
2023-06-15,plugin/cloudtrail,0.7.3,140
2023-06-15,plugin/cloudtrail,0.8.0,362
2023-06-16,plugin/cloudtrail,0.7.0,1619
2023-06-16,plugin/cloudtrail,0.7.1,3
2023-06-16,plugin/cloudtrail,0.7.2,25
2023-06-16,plugin/cloudtrail,0.7.3,140
2023-06-16,plugin/cloudtrail,0.8.0,400
2023-06-17,plugin/cloudtrail,0.7.0,1619
2023-06-17,plugin/cloudtrail,0.7.1,3
2023-06-17,plugin/cloudtrail,0.7.2,25
2023-06-17,plugin/cloudtrail,0.7.3,140
2023-06-17,plugin/cloudtrail,0.8.0,420
2023-06-18,plugin/cloudtrail,0.7.0,1619
2023-06-18,plugin/cloudtrail,0.7.1,3
2023-06-18,plugin/cloudtrail,0.7.2,25
2023-06-18,plugin/cloudtrail,0.7.3,140
2023-06-18,plugin/cloudtrail,0.8.0,428
2023-06-19,plugin/cloudtrail,0.7.0,1619
2023-06-19,plugin/cloudtrail,0.7.1,3
2023-06-19,plugin/cloudtrail,0.7.2,25
2023-06-19,plugin/cloudtrail,0.7.3,140
2023-06-19,plugin/cloudtrail,0.8.0,436
2023-06-20,plugin/cloudtrail,0.7.0,1619
2023-06-20,plugin/cloudtrail,0.7.1,3
2023-06-20,plugin/cloudtrail,0.7.2,25
2023-06-20,plugin/cloudtrail,0.7.3,140
2023-06-20,plugin/cloudtrail,0.8.0,462
2023-06-21,plugin/cloudtrail,0.7.0,1619
2023-06-21,plugin/cloudtrail,0.7.1,3
2023-06-21,plugin/cloudtrail,0.7.2,25
2023-06-21,plugin/cloudtrail,0.7.3,140
2023-06-21,plugin/cloudtrail,0.8.0,484
2023-06-22,plugin/cloudtrail,0.7.0,1619
2023-06-22,plugin/cloudtrail,0.7.1,3
2023-06-22,plugin/cloudtrail,0.7.2,25
2023-06-22,plugin/cloudtrail,0.7.3,140
2023-06-22,plugin/cloudtrail,0.8.0,558
2023-06-23,plugin/cloudtrail,0.7.0,1619
2023-06-23,plugin/cloudtrail,0.7.1,3
2023-06-23,plugin/cloudtrail,0.7.2,25
2023-06-23,plugin/cloudtrail,0.7.3,140
2023-06-23,plugin/cloudtrail,0.8.0,626
2023-06-24,plugin/cloudtrail,0.7.0,1619
2023-06-24,plugin/cloudtrail,0.7.1,3
2023-06-24,plugin/cloudtrail,0.7.2,25
2023-06-24,plugin/cloudtrail,0.7.3,140
2023-06-24,plugin/cloudtrail,0.8.0,652
2023-06-26,plugin/cloudtrail,0.7.0,1619
2023-06-26,plugin/cloudtrail,0.7.1,3
2023-06-26,plugin/cloudtrail,0.7.2,25
2023-06-26,plugin/cloudtrail,0.7.3,140
2023-06-26,plugin/cloudtrail,0.8.0,668
2023-06-27,plugin/cloudtrail,0.7.0,1619
2023-06-27,plugin/cloudtrail,0.7.1,3
2023-06-27,plugin/cloudtrail,0.7.2,25
2023-06-27,plugin/cloudtrail,0.7.3,140
2023-06-27,plugin/cloudtrail,0.8.0,682
2023-06-28,plugin/cloudtrail,0.7.0,1619
2023-06-28,plugin/cloudtrail,0.7.1,3
2023-06-28,plugin/cloudtrail,0.7.2,25
2023-06-28,plugin/cloudtrail,0.7.3,140
2023-06-28,plugin/cloudtrail,0.8.0,703
2023-06-29,plugin/cloudtrail,0.7.0,1619
2023-06-29,plugin/cloudtrail,0.7.1,3
2023-06-29,plugin/cloudtrail,0.7.2,25
2023-06-29,plugin/cloudtrail,0.7.3,140
2023-06-29,plugin/cloudtrail,0.8.0,729
2023-06-30,plugin/cloudtrail,0.7.0,1619
2023-06-30,plugin/cloudtrail,0.7.1,3
2023-06-30,plugin/cloudtrail,0.7.2,25
2023-06-30,plugin/cloudtrail,0.7.3,140
2023-06-30,plugin/cloudtrail,0.8.0,789
2023-07-01,plugin/cloudtrail,0.7.0,1619
2023-07-01,plugin/cloudtrail,0.7.1,3
2023-07-01,plugin/cloudtrail,0.7.2,25
2023-07-01,plugin/cloudtrail,0.7.3,140
2023-07-01,plugin/cloudtrail,0.8.0,823
2023-07-02,plugin/cloudtrail,0.7.0,1619
2023-07-02,plugin/cloudtrail,0.7.1,3
2023-07-02,plugin/cloudtrail,0.7.2,25
2023-07-02,plugin/cloudtrail,0.7.3,140
2023-07-02,plugin/cloudtrail,0.8.0,831
2023-07-03,plugin/cloudtrail,0.7.0,1619
2023-07-03,plugin/cloudtrail,0.7.1,3
2023-07-03,plugin/cloudtrail,0.7.2,25
2023-07-03,plugin/cloudtrail,0.7.3,140
2023-07-03,plugin/cloudtrail,0.8.0,839
2023-07-04,plugin/cloudtrail,0.7.0,1619
2023-07-04,plugin/cloudtrail,0.7.1,3
2023-07-04,plugin/cloudtrail,0.7.2,25
2023-07-04,plugin/cloudtrail,0.7.3,140
2023-07-04,plugin/cloudtrail,0.8.0,847
2023-07-05,plugin/cloudtrail,0.7.0,1619
2023-07-05,plugin/cloudtrail,0.7.1,3
2023-07-05,plugin/cloudtrail,0.7.2,25
2023-07-05,plugin/cloudtrail,0.7.3,140
2023-07-05,plugin/cloudtrail,0.8.0,900
2023-07-06,plugin/cloudtrail,0.7.0,1619
2023-07-06,plugin/cloudtrail,0.7.1,3
2023-07-06,plugin/cloudtrail,0.7.2,25
2023-07-06,plugin/cloudtrail,0.7.3,140
2023-07-06,plugin/cloudtrail,0.8.0,965
2023-07-07,plugin/cloudtrail,0.7.0,1619
2023-07-07,plugin/cloudtrail,0.7.1,3
2023-07-07,plugin/cloudtrail,0.7.2,25
2023-07-07,plugin/cloudtrail,0.7.3,140
2023-07-07,plugin/cloudtrail,0.8.0,986
2023-07-08,plugin/cloudtrail,0.7.0,1619
2023-07-08,plugin/cloudtrail,0.7.1,3
2023-07-08,plugin/cloudtrail,0.7.2,25
2023-07-08,plugin/cloudtrail,0.7.3,140
2023-07-08,plugin/cloudtrail,0.8.0,994
2023-07-09,plugin/cloudtrail,0.7.0,1620
2023-07-09,plugin/cloudtrail,0.7.1,4
2023-07-09,plugin/cloudtrail,0.7.2,26
2023-07-09,plugin/cloudtrail,0.7.3,142
