Date,Package,Version,Count
2023-03-29,plugin/dummy,0.8.0,148
2023-03-29,plugin/dummy_c,0.2.1,1
2023-03-30,plugin/dummy,0.8.0,160
2023-03-30,plugin/dummy_c,0.2.1,1
2023-03-31,plugin/dummy,0.8.0,172
2023-03-31,plugin/dummy,0.8.1,13
2023-03-31,plugin/dummy_c,0.2.1,1
2023-04-01,plugin/dummy,0.8.0,172
2023-04-01,plugin/dummy,0.8.1,13
2023-04-01,plugin/dummy_c,0.2.1,1
2023-04-02,plugin/dummy,0.8.0,172
2023-04-02,plugin/dummy,0.8.1,13
2023-04-02,plugin/dummy_c,0.2.1,1
2023-04-03,plugin/dummy,0.8.0,172
2023-04-03,plugin/dummy,0.8.1,13
2023-04-03,plugin/dummy_c,0.2.1,1
2023-04-04,plugin/dummy,0.8.0,172
2023-04-04,plugin/dummy,0.8.1,23
2023-04-04,plugin/dummy_c,0.2.1,1
2023-04-05,plugin/dummy,0.8.0,172
2023-04-05,plugin/dummy,0.8.1,26
2023-04-05,plugin/dummy_c,0.2.1,1
2023-04-06,plugin/dummy,0.8.0,172
2023-04-06,plugin/dummy,0.8.1,32
2023-04-06,plugin/dummy_c,0.2.1,1
2023-04-07,plugin/dummy,0.8.0,172
2023-04-07,plugin/dummy,0.8.1,44
2023-04-07,plugin/dummy_c,0.2.1,1
2023-04-08,plugin/dummy,0.8.0,172
2023-04-08,plugin/dummy,0.8.1,47
2023-04-08,plugin/dummy_c,0.2.1,1
2023-04-09,plugin/dummy,0.8.0,172
2023-04-09,plugin/dummy,0.8.1,47
2023-04-09,plugin/dummy_c,0.2.1,1
2023-04-10,plugin/dummy,0.8.0,172
2023-04-10,plugin/dummy,0.8.1,47
2023-04-10,plugin/dummy_c,0.2.1,1
2023-04-11,plugin/dummy,0.8.0,172
2023-04-11,plugin/dummy,0.8.1,47
2023-04-11,plugin/dummy_c,0.2.1,1
2023-04-12,plugin/dummy,0.8.0,172
2023-04-12,plugin/dummy,0.8.1,47
2023-04-12,plugin/dummy_c,0.2.1,1
2023-04-13,plugin/dummy,0.8.0,172
2023-04-13,plugin/dummy,0.8.1,57
2023-04-13,plugin/dummy,0.8.2,5
2023-04-13,plugin/dummy_c,0.2.1,1
2023-04-13,plugin/dummy_c,0.2.2,1
2023-04-14,plugin/dummy,0.8.0,172
2023-04-14,plugin/dummy,0.8.1,57
2023-04-14,plugin/dummy,0.8.2,23
