Date,Package,Version,Count
2023-03-29,plugin/dummy_c,0.2.1,1
2023-03-30,plugin/dummy_c,0.2.1,1
2023-03-31,plugin/dummy_c,0.2.1,1
2023-04-01,plugin/dummy_c,0.2.1,1
2023-04-02,plugin/dummy_c,0.2.1,1
2023-04-03,plugin/dummy_c,0.2.1,1
2023-04-04,plugin/dummy_c,0.2.1,1
2023-04-05,plugin/dummy_c,0.2.1,1
2023-04-06,plugin/dummy_c,0.2.1,1
2023-04-07,plugin/dummy_c,0.2.1,1
2023-04-08,plugin/dummy_c,0.2.1,1
2023-04-09,plugin/dummy_c,0.2.1,1
2023-04-10,plugin/dummy_c,0.2.1,1
2023-04-11,plugin/dummy_c,0.2.1,1
2023-04-12,plugin/dummy_c,0.2.1,1
2023-04-13,plugin/dummy_c,0.2.1,1
2023-04-13,plugin/dummy_c,0.2.2,1
2023-04-14,plugin/dummy_c,0.2.1,1
2023-04-14,plugin/dummy_c,0.2.2,1
2023-04-15,plugin/dummy_c,0.2.1,1
2023-04-15,plugin/dummy_c,0.2.2,1
2023-04-16,plugin/dummy_c,0.2.1,1
2023-04-16,plugin/dummy_c,0.2.2,1
2023-04-17,plugin/dummy_c,0.2.1,1
2023-04-17,plugin/dummy_c,0.2.2,1
2023-04-18,plugin/dummy_c,0.2.1,1
2023-04-18,plugin/dummy_c,0.2.2,1
2023-04-19,plugin/dummy_c,0.2.1,1
2023-04-19,plugin/dummy_c,0.2.2,1
2023-04-20,plugin/dummy_c,0.2.1,1
2023-04-20,plugin/dummy_c,0.2.2,1
2023-04-21,plugin/dummy_c,0.2.1,1
2023-04-21,plugin/dummy_c,0.2.2,1
2023-04-22,plugin/dummy_c,0.2.1,1
2023-04-22,plugin/dummy_c,0.2.2,1
2023-04-23,plugin/dummy_c,0.2.1,1
2023-04-23,plugin/dummy_c,0.2.2,1
2023-04-24,plugin/dummy_c,0.2.1,1
2023-04-24,plugin/dummy_c,0.2.2,1
2023-04-25,plugin/dummy_c,0.2.1,1
2023-04-25,plugin/dummy_c,0.2.2,1
2023-04-26,plugin/dummy_c,0.2.1,1
2023-04-26,plugin/dummy_c,0.2.2,1
2023-04-27,plugin/dummy_c,0.2.1,1
2023-04-27,plugin/dummy_c,0.2.2,1
2023-04-28,plugin/dummy_c,0.2.1,1
2023-04-28,plugin/dummy_c,0.2.2,1
2023-04-29,plugin/dummy_c,0.2.1,1
2023-04-29,plugin/dummy_c,0.2.2,1
2023-04-30,plugin/dummy_c,0.2.1,1
2023-04-30,plugin/dummy_c,0.2.2,1
2023-05-01,plugin/dummy_c,0.2.1,1
2023-05-01,plugin/dummy_c,0.2.2,1
2023-05-02,plugin/dummy_c,0.2.1,1
2023-05-02,plugin/dummy_c,0.2.2,1
2023-05-03,plugin/dummy_c,0.2.1,1
2023-05-03,plugin/dummy_c,0.2.2,1
2023-05-04,plugin/dummy_c,0.2.1,1
2023-05-04,plugin/dummy_c,0.2.2,1
2023-05-05,plugin/dummy_c,0.2.1,1
2023-05-05,plugin/dummy_c,0.2.2,3
2023-05-06,plugin/dummy_c,0.2.1,1
2023-05-06,plugin/dummy_c,0.2.2,3
2023-05-07,plugin/dummy_c,0.2.1,1
2023-05-07,plugin/dummy_c,0.2.2,3
2023-05-08,plugin/dummy_c,0.2.1,1
2023-05-08,plugin/dummy_c,0.2.2,3
2023-05-09,plugin/dummy_c,0.2.1,1
2023-05-09,plugin/dummy_c,0.2.2,3
2023-05-10,plugin/dummy_c,0.2.1,1
2023-05-10,plugin/dummy_c,0.2.2,3
2023-05-11,plugin/dummy_c,0.2.1,1
2023-05-11,plugin/dummy_c,0.2.2,3
2023-05-12,plugin/dummy_c,0.2.1,1
2023-05-12,plugin/dummy_c,0.2.2,3
2023-05-13,plugin/dummy_c,0.2.1,1
2023-05-13,plugin/dummy_c,0.2.2,3
2023-05-14,plugin/dummy_c,0.2.1,1
2023-05-14,plugin/dummy_c,0.2.2,3
2023-05-15,plugin/dummy_c,0.2.1,1
2023-05-15,plugin/dummy_c,0.2.2,3
2023-05-16,plugin/dummy_c,0.2.1,1
2023-05-16,plugin/dummy_c,0.2.2,3
2023-05-17,plugin/dummy_c,0.2.1,1
2023-05-17,plugin/dummy_c,0.2.2,3
2023-05-18,plugin/dummy_c,0.2.1,1
2023-05-18,plugin/dummy_c,0.2.2,3
2023-05-19,plugin/dummy_c,0.2.1,1
2023-05-19,plugin/dummy_c,0.2.2,3
2023-05-20,plugin/dummy_c,0.2.1,1
2023-05-20,plugin/dummy_c,0.2.2,4
2023-05-21,plugin/dummy_c,0.2.1,1
2023-05-21,plugin/dummy_c,0.2.2,4
2023-05-22,plugin/dummy_c,0.2.1,1
2023-05-22,plugin/dummy_c,0.2.2,4
2023-05-23,plugin/dummy_c,0.2.1,1
2023-05-23,plugin/dummy_c,0.2.2,17
2023-05-24,plugin/dummy_c,0.2.1,1
2023-05-24,plugin/dummy_c,0.2.2,18
2023-05-25,plugin/dummy_c,0.2.1,2
2023-05-25,plugin/dummy_c,0.2.2,18
2023-05-26,plugin/dummy_c,0.2.1,2
2023-05-26,plugin/dummy_c,0.2.2,18
2023-05-27,plugin/dummy_c,0.2.1,2
2023-05-27,plugin/dummy_c,0.2.2,18
2023-05-28,plugin/dummy_c,0.2.1,2
2023-05-28,plugin/dummy_c,0.2.2,18
2023-05-29,plugin/dummy_c,0.2.1,2
2023-05-29,plugin/dummy_c,0.2.2,18
2023-05-30,plugin/dummy_c,0.2.1,2
2023-05-30,plugin/dummy_c,0.2.2,18
2023-05-31,plugin/dummy_c,0.2.1,2
2023-05-31,plugin/dummy_c,0.2.2,18
2023-06-01,plugin/dummy_c,0.2.1,2
2023-06-01,plugin/dummy_c,0.2.2,18
2023-06-02,plugin/dummy_c,0.2.1,2
2023-06-02,plugin/dummy_c,0.2.2,18
2023-06-03,plugin/dummy_c,0.2.1,2
2023-06-03,plugin/dummy_c,0.2.2,18
2023-06-04,plugin/dummy_c,0.2.1,2
2023-06-04,plugin/dummy_c,0.2.2,18
2023-06-05,plugin/dummy_c,0.2.1,2
2023-06-05,plugin/dummy_c,0.2.2,18
2023-06-06,plugin/dummy_c,0.2.1,2
2023-06-06,plugin/dummy_c,0.2.2,18
2023-06-07,plugin/dummy_c,0.2.1,2
2023-06-07,plugin/dummy_c,0.2.2,18
2023-06-08,plugin/dummy_c,0.2.1,2
2023-06-08,plugin/dummy_c,0.2.2,18
2023-06-09,plugin/dummy_c,0.2.1,2
2023-06-09,plugin/dummy_c,0.2.2,18
2023-06-10,plugin/dummy_c,0.2.1,2
2023-06-10,plugin/dummy_c,0.2.2,33
2023-06-11,plugin/dummy_c,0.2.1,2
2023-06-11,plugin/dummy_c,0.2.2,33
2023-06-12,plugin/dummy_c,0.2.1,2
2023-06-12,plugin/dummy_c,0.2.2,33
2023-06-13,plugin/dummy_c,0.2.1,2
2023-06-13,plugin/dummy_c,0.2.2,33
2023-06-14,plugin/dummy_c,0.2.1,2
2023-06-14,plugin/dummy_c,0.2.2,33
2023-06-15,plugin/dummy_c,0.2.1,2
2023-06-15,plugin/dummy_c,0.2.2,33
2023-06-16,plugin/dummy_c,0.2.1,2
2023-06-16,plugin/dummy_c,0.2.2,33
2023-06-17,plugin/dummy_c,0.2.1,2
2023-06-17,plugin/dummy_c,0.2.2,33
2023-06-18,plugin/dummy_c,0.2.1,2
2023-06-18,plugin/dummy_c,0.2.2,33
2023-06-19,plugin/dummy_c,0.2.1,2
2023-06-19,plugin/dummy_c,0.2.2,33
2023-06-20,plugin/dummy_c,0.2.1,2
2023-06-20,plugin/dummy_c,0.2.2,33
2023-06-21,plugin/dummy_c,0.2.1,2
2023-06-21,plugin/dummy_c,0.2.2,33
2023-06-22,plugin/dummy_c,0.2.1,2
2023-06-22,plugin/dummy_c,0.2.2,33
2023-06-23,plugin/dummy_c,0.2.1,2
2023-06-23,plugin/dummy_c,0.2.2,33
2023-06-24,plugin/dummy_c,0.2.1,2
2023-06-24,plugin/dummy_c,0.2.2,33
2023-06-26,plugin/dummy_c,0.2.1,2
2023-06-26,plugin/dummy_c,0.2.2,33
2023-06-27,plugin/dummy_c,0.2.1,2
2023-06-27,plugin/dummy_c,0.2.2,33
2023-06-28,plugin/dummy_c,0.2.1,2
2023-06-28,plugin/dummy_c,0.2.2,33
2023-06-29,plugin/dummy_c,0.2.1,2
2023-06-29,plugin/dummy_c,0.2.2,33
2023-06-30,plugin/dummy_c,0.2.1,2
2023-06-30,plugin/dummy_c,0.2.2,33
2023-07-01,plugin/dummy_c,0.2.1,2
2023-07-01,plugin/dummy_c,0.2.2,33
2023-07-02,plugin/dummy_c,0.2.1,2
2023-07-02,plugin/dummy_c,0.2.2,33
2023-07-03,plugin/dummy_c,0.2.1,2
2023-07-03,plugin/dummy_c,0.2.2,33
2023-07-04,plugin/dummy_c,0.2.1,2
2023-07-04,plugin/dummy_c,0.2.2,33
2023-07-05,plugin/dummy_c,0.2.1,2
2023-07-05,plugin/dummy_c,0.2.2,33
2023-07-06,plugin/dummy_c,0.2.1,2
2023-07-06,plugin/dummy_c,0.2.2,33
2023-07-07,plugin/dummy_c,0.2.1,2
2023-07-07,plugin/dummy_c,0.2.2,33
2023-07-08,plugin/dummy_c,0.2.1,3
2023-07-08,plugin/dummy_c,0.2.2,37
2023-07-09,plugin/dummy_c,0.2.1,4
2023-07-09,plugin/dummy_c,0.2.2,41
2023-07-10,plugin/dummy_c,0.2.1,7
2023-07-10,plugin/dummy_c,0.2.2,53
2023-07-11,plugin/dummy_c,0.2.1,7
2023-07-11,plugin/dummy_c,0.2.2,53
2023-07-12,plugin/dummy_c,0.2.1,8
2023-07-12,plugin/dummy_c,0.2.2,57
2023-07-13,plugin/dummy_c,0.2.1,11
2023-07-13,plugin/dummy_c,0.2.2,69
2023-07-14,plugin/dummy_c,0.2.1,12
2023-07-14,plugin/dummy_c,0.2.2,73
2023-07-15,plugin/dummy_c,0.2.1,12
2023-07-15,plugin/dummy_c,0.2.2,73
2023-07-16,plugin/dummy_c,0.2.1,12
2023-07-16,plugin/dummy_c,0.2.2,73
2023-07-17,plugin/dummy_c,0.2.1,12
2023-07-17,plugin/dummy_c,0.2.2,73
2023-07-18,plugin/dummy_c,0.2.1,14
2023-07-18,plugin/dummy_c,0.2.2,81
2023-07-19,plugin/dummy_c,0.2.1,15
2023-07-19,plugin/dummy_c,0.2.2,85
2023-07-20,plugin/dummy_c,0.2.1,16
2023-07-20,plugin/dummy_c,0.2.2,110
2023-07-21,plugin/dummy_c,0.2.1,17
2023-07-21,plugin/dummy_c,0.2.2,119
2023-07-22,plugin/dummy_c,0.2.1,17
2023-07-22,plugin/dummy_c,0.2.2,119
2023-07-23,plugin/dummy_c,0.2.1,17
2023-07-23,plugin/dummy_c,0.2.2,119
2023-07-24,plugin/dummy_c,0.2.1,18
2023-07-24,plugin/dummy_c,0.2.2,123
2023-07-25,plugin/dummy_c,0.2.1,18
2023-07-25,plugin/dummy_c,0.2.2,123
2023-07-26,plugin/dummy_c,0.2.1,19
2023-07-26,plugin/dummy_c,0.2.2,127
2023-07-27,plugin/dummy_c,0.2.1,20
2023-07-27,plugin/dummy_c,0.2.2,131
2023-07-28,plugin/dummy_c,0.2.1,21
2023-07-28,plugin/dummy_c,0.2.2,135
2023-07-29,plugin/dummy_c,0.2.1,22
2023-07-29,plugin/dummy_c,0.2.2,139
2023-07-30,plugin/dummy_c,0.2.1,22
2023-07-30,plugin/dummy_c,0.2.2,139
2023-07-31,plugin/dummy_c,0.2.1,23
2023-07-31,plugin/dummy_c,0.2.2,143
2023-08-01,plugin/dummy_c,0.2.1,24
2023-08-01,plugin/dummy_c,0.2.2,147
2023-08-02,plugin/dummy_c,0.2.1,24
2023-08-02,plugin/dummy_c,0.2.2,147
2023-08-03,plugin/dummy_c,0.2.1,25
2023-08-03,plugin/dummy_c,0.2.2,151
2023-08-04,plugin/dummy_c,0.2.1,27
2023-08-04,plugin/dummy_c,0.2.2,159
2023-08-05,plugin/dummy_c,0.2.1,27
2023-08-05,plugin/dummy_c,0.2.2,159
2023-08-06,plugin/dummy_c,0.2.1,27
2023-08-06,plugin/dummy_c,0.2.2,159
2023-08-07,plugin/dummy_c,0.2.1,28
2023-08-07,plugin/dummy_c,0.2.2,163
2023-08-08,plugin/dummy_c,0.2.1,29
2023-08-08,plugin/dummy_c,0.2.2,167
2023-08-09,plugin/dummy_c,0.2.1,29
2023-08-09,plugin/dummy_c,0.2.2,167
2023-08-10,plugin/dummy_c,0.2.1,30
2023-08-10,plugin/dummy_c,0.2.2,171
2023-09-28,plugin/dummy_c,0.2.1,42
2023-09-28,plugin/dummy_c,0.2.2,248
2023-09-29,plugin/dummy_c,0.2.1,42
2023-09-29,plugin/dummy_c,0.2.2,248
2023-09-30,plugin/dummy_c,0.2.1,42
2023-09-30,plugin/dummy_c,0.2.2,248
2023-10-01,plugin/dummy_c,0.2.1,42
2023-10-01,plugin/dummy_c,0.2.2,252
2023-10-02,plugin/dummy_c,0.2.1,42
2023-10-02,plugin/dummy_c,0.2.2,252
2023-10-03,plugin/dummy_c,0.2.1,42
2023-10-03,plugin/dummy_c,0.2.2,252
2023-10-04,plugin/dummy_c,0.2.1,42
2023-10-04,plugin/dummy_c,0.2.2,252
2023-10-05,plugin/dummy_c,0.2.1,42
2023-10-05,plugin/dummy_c,0.2.2,252
2023-10-06,plugin/dummy_c,0.2.1,42
2023-10-06,plugin/dummy_c,0.2.2,252
2023-10-07,plugin/dummy_c,0.2.1,42
2023-10-07,plugin/dummy_c,0.2.2,252
2023-10-08,plugin/dummy_c,0.2.1,42
2023-10-08,plugin/dummy_c,0.2.2,252
2023-10-09,plugin/dummy_c,0.2.1,42
2023-10-09,plugin/dummy_c,0.2.2,252
2023-10-10,plugin/dummy_c,0.2.1,42
2023-10-10,plugin/dummy_c,0.2.2,252
2023-10-11,plugin/dummy_c,0.2.1,42
2023-10-11,plugin/dummy_c,0.2.2,252
2023-10-12,plugin/dummy_c,0.2.1,42
2023-10-12,plugin/dummy_c,0.2.2,253
2023-10-13,plugin/dummy_c,0.2.1,42
2023-10-13,plugin/dummy_c,0.2.2,253
2023-10-14,plugin/dummy_c,0.2.1,42
2023-10-14,plugin/dummy_c,0.2.2,254
2023-10-15,plugin/dummy_c,0.2.1,42
2023-10-15,plugin/dummy_c,0.2.2,254
2023-10-16,plugin/dummy_c,0.2.1,42
2023-10-16,plugin/dummy_c,0.2.2,254
2023-10-17,plugin/dummy_c,0.2.1,42
2023-10-17,plugin/dummy_c,0.2.2,254
2023-10-18,plugin/dummy_c,0.2.1,42
2023-10-18,plugin/dummy_c,0.2.2,254
2023-10-19,plugin/dummy_c,0.2.1,42
2023-10-19,plugin/dummy_c,0.2.2,254
2023-10-20,plugin/dummy_c,0.2.1,42
2023-10-20,plugin/dummy_c,0.2.2,254
2023-10-21,plugin/dummy_c,0.2.1,42
2023-10-21,plugin/dummy_c,0.2.2,254
2023-10-22,plugin/dummy_c,0.2.1,42
2023-10-22,plugin/dummy_c,0.2.2,254
2023-10-23,plugin/dummy_c,0.2.1,42
2023-10-23,plugin/dummy_c,0.2.2,256
2023-10-24,plugin/dummy_c,0.2.1,42
2023-10-24,plugin/dummy_c,0.2.2,256
2023-10-25,plugin/dummy_c,0.2.1,42
2023-10-25,plugin/dummy_c,0.2.2,256
2023-10-26,plugin/dummy_c,0.2.1,42
2023-10-26,plugin/dummy_c,0.2.2,256
2023-10-27,plugin/dummy_c,0.2.1,42
2023-10-27,plugin/dummy_c,0.2.2,256
2023-10-28,plugin/dummy_c,0.2.1,42
2023-10-28,plugin/dummy_c,0.2.2,259
2023-10-29,plugin/dummy_c,0.2.1,42
2023-10-29,plugin/dummy_c,0.2.2,259
2023-10-30,plugin/dummy_c,0.2.1,42
2023-10-30,plugin/dummy_c,0.2.2,259
2023-10-31,plugin/dummy_c,0.2.1,42
2023-10-31,plugin/dummy_c,0.2.2,259
2023-11-01,plugin/dummy_c,0.2.1,42
2023-11-01,plugin/dummy_c,0.2.2,260
2023-11-02,plugin/dummy_c,0.2.1,43
2023-11-02,plugin/dummy_c,0.2.2,264
2023-11-03,plugin/dummy_c,0.2.1,44
2023-11-03,plugin/dummy_c,0.2.2,268
2023-11-04,plugin/dummy_c,0.2.1,44
2023-11-04,plugin/dummy_c,0.2.2,268
2023-11-05,plugin/dummy_c,0.2.1,45
2023-11-05,plugin/dummy_c,0.2.2,272
2023-11-06,plugin/dummy_c,0.2.1,45
2023-11-06,plugin/dummy_c,0.2.2,272
2023-11-07,plugin/dummy_c,0.2.1,46
2023-11-07,plugin/dummy_c,0.2.2,276
2023-11-08,plugin/dummy_c,0.2.1,46
2023-11-08,plugin/dummy_c,0.2.2,276
2023-11-09,plugin/dummy_c,0.2.1,47
2023-11-09,plugin/dummy_c,0.2.2,280
2023-11-10,plugin/dummy_c,0.2.1,48
2023-11-10,plugin/dummy_c,0.2.2,286
2023-11-11,plugin/dummy_c,0.2.1,51
2023-11-11,plugin/dummy_c,0.2.2,295
2023-11-12,plugin/dummy_c,0.2.1,55
2023-11-12,plugin/dummy_c,0.2.2,315
2023-11-13,plugin/dummy_c,0.2.1,58
2023-11-13,plugin/dummy_c,0.2.2,331
2023-11-14,plugin/dummy_c,0.2.1,59
2023-11-14,plugin/dummy_c,0.2.2,336
2023-11-15,plugin/dummy_c,0.2.1,59
2023-11-15,plugin/dummy_c,0.2.2,336
2023-11-16,plugin/dummy_c,0.2.1,60
2023-11-16,plugin/dummy_c,0.2.2,340
2023-11-17,plugin/dummy_c,0.2.1,60
2023-11-17,plugin/dummy_c,0.2.2,340
2023-11-18,plugin/dummy_c,0.2.1,61
2023-11-18,plugin/dummy_c,0.2.2,344
2023-11-19,plugin/dummy_c,0.2.1,62
2023-11-19,plugin/dummy_c,0.2.2,348
2023-11-20,plugin/dummy_c,0.2.1,63
2023-11-20,plugin/dummy_c,0.2.2,352
2023-11-21,plugin/dummy_c,0.2.1,63
2023-11-21,plugin/dummy_c,0.2.2,352
2023-11-22,plugin/dummy_c,0.2.1,64
2023-11-22,plugin/dummy_c,0.2.2,356
2023-11-23,plugin/dummy_c,0.2.1,64
2023-11-23,plugin/dummy_c,0.2.2,356
2023-11-24,plugin/dummy_c,0.2.1,65
2023-11-24,plugin/dummy_c,0.2.2,360
2023-11-25,plugin/dummy_c,0.2.1,66
2023-11-25,plugin/dummy_c,0.2.2,364
2023-11-26,plugin/dummy_c,0.2.1,66
2023-11-26,plugin/dummy_c,0.2.2,364
2023-11-27,plugin/dummy_c,0.2.1,67
2023-11-27,plugin/dummy_c,0.2.2,368
2023-11-28,plugin/dummy_c,0.2.1,67
2023-11-28,plugin/dummy_c,0.2.2,368
2023-11-29,plugin/dummy_c,0.2.1,67
2023-11-29,plugin/dummy_c,0.2.2,368
2023-11-30,plugin/dummy_c,0.2.1,68
2023-11-30,plugin/dummy_c,0.2.2,372
2023-12-01,plugin/dummy_c,0.2.1,68
2023-12-01,plugin/dummy_c,0.2.2,372
2023-12-02,plugin/dummy_c,0.2.1,68
2023-12-02,plugin/dummy_c,0.2.2,372
2023-12-03,plugin/dummy_c,0.2.1,69
2023-12-03,plugin/dummy_c,0.2.2,376
2023-12-04,plugin/dummy_c,0.2.1,70
2023-12-04,plugin/dummy_c,0.2.2,380
2023-12-05,plugin/dummy_c,0.2.1,71
2023-12-05,plugin/dummy_c,0.2.2,384
2023-12-06,plugin/dummy_c,0.2.1,72
2023-12-06,plugin/dummy_c,0.2.2,388
2023-12-07,plugin/dummy_c,0.2.1,73
2023-12-07,plugin/dummy_c,0.2.2,392
2023-12-08,plugin/dummy_c,0.2.1,73
2023-12-08,plugin/dummy_c,0.2.2,392
2023-12-09,plugin/dummy_c,0.2.1,74
2023-12-09,plugin/dummy_c,0.2.2,396
2023-12-10,plugin/dummy_c,0.2.1,74
2023-12-10,plugin/dummy_c,0.2.2,396
2023-12-11,plugin/dummy_c,0.2.1,75
2023-12-11,plugin/dummy_c,0.2.2,400
2023-12-12,plugin/dummy_c,0.2.1,75
2023-12-12,plugin/dummy_c,0.2.2,400
2023-12-13,plugin/dummy_c,0.2.1,76
2023-12-13,plugin/dummy_c,0.2.2,406
2023-12-14,plugin/dummy_c,0.2.1,77
2023-12-14,plugin/dummy_c,0.2.2,410
2023-12-15,plugin/dummy_c,0.2.1,77
2023-12-15,plugin/dummy_c,0.2.2,410
2023-12-16,plugin/dummy_c,0.2.1,78
2023-12-16,plugin/dummy_c,0.2.2,414
2023-12-17,plugin/dummy_c,0.2.1,78
2023-12-17,plugin/dummy_c,0.2.2,414
2023-12-18,plugin/dummy_c,0.2.1,79
2023-12-18,plugin/dummy_c,0.2.2,422
2023-12-19,plugin/dummy_c,0.2.1,79
2023-12-19,plugin/dummy_c,0.2.2,435
2023-12-20,plugin/dummy_c,0.2.1,80
2023-12-20,plugin/dummy_c,0.2.2,439
2023-12-21,plugin/dummy_c,0.2.1,80
2023-12-21,plugin/dummy_c,0.2.2,439
2023-12-22,plugin/dummy_c,0.2.1,81
