Date,Package,Version,Count
2023-09-28,plugin/gcpaudit,0.1.3,18
2023-09-28,plugin/gcpaudit,0.2.0,20
2023-09-28,plugin/gcpaudit,0.2.1,4
2023-09-29,plugin/gcpaudit,0.1.3,18
2023-09-29,plugin/gcpaudit,0.2.0,20
2023-09-29,plugin/gcpaudit,0.2.1,4
2023-09-30,plugin/gcpaudit,0.1.3,18
2023-09-30,plugin/gcpaudit,0.2.0,20
2023-09-30,plugin/gcpaudit,0.2.1,4
2023-10-01,plugin/gcpaudit,0.1.3,18
2023-10-01,plugin/gcpaudit,0.2.0,20
2023-10-01,plugin/gcpaudit,0.2.1,8
2023-10-02,plugin/gcpaudit,0.1.3,18
2023-10-02,plugin/gcpaudit,0.2.0,20
2023-10-02,plugin/gcpaudit,0.2.1,8
2023-10-03,plugin/gcpaudit,0.1.3,18
2023-10-03,plugin/gcpaudit,0.2.0,20
2023-10-03,plugin/gcpaudit,0.2.1,8
2023-10-04,plugin/gcpaudit,0.1.3,18
2023-10-04,plugin/gcpaudit,0.2.0,20
2023-10-04,plugin/gcpaudit,0.2.1,8
2023-10-05,plugin/gcpaudit,0.1.3,18
2023-10-05,plugin/gcpaudit,0.2.0,20
2023-10-05,plugin/gcpaudit,0.2.1,8
2023-10-06,plugin/gcpaudit,0.1.3,18
2023-10-06,plugin/gcpaudit,0.2.0,20
2023-10-06,plugin/gcpaudit,0.2.1,8
2023-10-07,plugin/gcpaudit,0.1.3,18
2023-10-07,plugin/gcpaudit,0.2.0,20
2023-10-07,plugin/gcpaudit,0.2.1,8
2023-10-08,plugin/gcpaudit,0.1.3,18
2023-10-08,plugin/gcpaudit,0.2.0,20
2023-10-08,plugin/gcpaudit,0.2.1,8
2023-10-09,plugin/gcpaudit,0.1.3,18
2023-10-09,plugin/gcpaudit,0.2.0,20
2023-10-09,plugin/gcpaudit,0.2.1,8
2023-10-10,plugin/gcpaudit,0.1.3,18
2023-10-10,plugin/gcpaudit,0.2.0,20
2023-10-10,plugin/gcpaudit,0.2.1,8
2023-10-11,plugin/gcpaudit,0.1.3,18
2023-10-11,plugin/gcpaudit,0.2.0,20
2023-10-11,plugin/gcpaudit,0.2.1,25
