Date,Package,Version,Count
2023-03-29,plugin/okta,0.5.0,86
2023-03-30,plugin/okta,0.5.0,86
2023-03-31,plugin/okta,0.5.0,86
2023-03-31,plugin/okta,0.6.0,1
2023-04-01,plugin/okta,0.5.0,86
2023-04-01,plugin/okta,0.6.0,1
2023-04-02,plugin/okta,0.5.0,86
2023-04-02,plugin/okta,0.6.0,1
2023-04-03,plugin/okta,0.5.0,86
2023-04-03,plugin/okta,0.6.0,1
2023-04-04,plugin/okta,0.5.0,86
2023-04-04,plugin/okta,0.6.0,2
2023-04-05,plugin/okta,0.5.0,86
2023-04-05,plugin/okta,0.6.0,2
2023-04-06,plugin/okta,0.5.0,86
2023-04-06,plugin/okta,0.6.0,2
2023-04-07,plugin/okta,0.5.0,86
2023-04-07,plugin/okta,0.6.0,2
2023-04-08,plugin/okta,0.5.0,86
2023-04-08,plugin/okta,0.6.0,2
2023-04-09,plugin/okta,0.5.0,86
2023-04-09,plugin/okta,0.6.0,2
2023-04-10,plugin/okta,0.5.0,86
2023-04-10,plugin/okta,0.6.0,2
2023-04-11,plugin/okta,0.5.0,86
2023-04-11,plugin/okta,0.6.0,2
2023-04-12,plugin/okta,0.5.0,86
2023-04-12,plugin/okta,0.6.0,2
2023-04-13,plugin/okta,0.5.0,86
2023-04-13,plugin/okta,0.6.0,2
2023-04-13,plugin/okta,0.7.0,1
2023-04-14,plugin/okta,0.5.0,86
2023-04-14,plugin/okta,0.6.0,2
2023-04-14,plugin/okta,0.7.0,1
2023-04-15,plugin/okta,0.5.0,86
2023-04-15,plugin/okta,0.6.0,2
2023-04-15,plugin/okta,0.7.0,1
2023-04-16,plugin/okta,0.5.0,86
2023-04-16,plugin/okta,0.6.0,2
2023-04-16,plugin/okta,0.7.0,1
2023-04-17,plugin/okta,0.5.0,86
2023-04-17,plugin/okta,0.6.0,2
2023-04-17,plugin/okta,0.7.0,1
2023-04-18,plugin/okta,0.5.0,86
2023-04-18,plugin/okta,0.6.0,2
2023-04-18,plugin/okta,0.7.0,1
2023-04-19,plugin/okta,0.5.0,86
2023-04-19,plugin/okta,0.6.0,2
2023-04-19,plugin/okta,0.7.0,1
2023-04-20,plugin/okta,0.5.0,86
2023-04-20,plugin/okta,0.6.0,2
2023-04-20,plugin/okta,0.7.0,1
2023-04-21,plugin/okta,0.5.0,86
2023-04-21,plugin/okta,0.6.0,2
2023-04-21,plugin/okta,0.7.0,1
2023-04-22,plugin/okta,0.5.0,86
2023-04-22,plugin/okta,0.6.0,2
2023-04-22,plugin/okta,0.7.0,1
2023-04-23,plugin/okta,0.5.0,86
2023-04-23,plugin/okta,0.6.0,2
2023-04-23,plugin/okta,0.7.0,1
2023-04-24,plugin/okta,0.5.0,86
2023-04-24,plugin/okta,0.6.0,2
2023-04-24,plugin/okta,0.7.0,1
2023-04-25,plugin/okta,0.5.0,86
2023-04-25,plugin/okta,0.6.0,2
2023-04-25,plugin/okta,0.7.0,1
2023-04-26,plugin/okta,0.5.0,86
2023-04-26,plugin/okta,0.6.0,2
2023-04-26,plugin/okta,0.7.0,1
2023-04-27,plugin/okta,0.5.0,86
2023-04-27,plugin/okta,0.6.0,2
2023-04-27,plugin/okta,0.7.0,1
2023-04-28,plugin/okta,0.5.0,86
2023-04-28,plugin/okta,0.6.0,2
2023-04-28,plugin/okta,0.7.0,1
2023-04-29,plugin/okta,0.5.0,86
2023-04-29,plugin/okta,0.6.0,2
2023-04-29,plugin/okta,0.7.0,1
2023-04-30,plugin/okta,0.5.0,86
2023-04-30,plugin/okta,0.6.0,2
2023-04-30,plugin/okta,0.7.0,1
2023-05-01,plugin/okta,0.5.0,86
2023-05-01,plugin/okta,0.6.0,2
2023-05-01,plugin/okta,0.7.0,1
2023-05-02,plugin/okta,0.5.0,86
2023-05-02,plugin/okta,0.6.0,2
2023-05-02,plugin/okta,0.7.0,1
2023-05-03,plugin/okta,0.5.0,86
2023-05-03,plugin/okta,0.6.0,2
2023-05-03,plugin/okta,0.7.0,1
2023-05-04,plugin/okta,0.5.0,86
2023-05-04,plugin/okta,0.6.0,2
2023-05-04,plugin/okta,0.7.0,1
2023-05-05,plugin/okta,0.5.0,86
2023-05-05,plugin/okta,0.6.0,2
2023-05-05,plugin/okta,0.7.0,3
2023-05-06,plugin/okta,0.5.0,86
2023-05-06,plugin/okta,0.6.0,2
2023-05-06,plugin/okta,0.7.0,3
2023-05-07,plugin/okta,0.5.0,86
2023-05-07,plugin/okta,0.6.0,2
2023-05-07,plugin/okta,0.7.0,3
2023-05-08,plugin/okta,0.5.0,86
2023-05-08,plugin/okta,0.6.0,2
2023-05-08,plugin/okta,0.7.0,3
2023-05-09,plugin/okta,0.5.0,86
2023-05-09,plugin/okta,0.6.0,2
2023-05-09,plugin/okta,0.7.0,3
2023-05-10,plugin/okta,0.5.0,86
2023-05-10,plugin/okta,0.6.0,2
2023-05-10,plugin/okta,0.7.0,3
2023-05-11,plugin/okta,0.5.0,86
2023-05-11,plugin/okta,0.6.0,2
2023-05-11,plugin/okta,0.7.0,3
2023-05-12,plugin/okta,0.5.0,86
2023-05-12,plugin/okta,0.6.0,2
2023-05-12,plugin/okta,0.7.0,3
2023-05-13,plugin/okta,0.5.0,86
2023-05-13,plugin/okta,0.6.0,2
2023-05-13,plugin/okta,0.7.0,3
2023-05-14,plugin/okta,0.5.0,86
2023-05-14,plugin/okta,0.6.0,2
2023-05-14,plugin/okta,0.7.0,3
2023-05-15,plugin/okta,0.5.0,86
2023-05-15,plugin/okta,0.6.0,2
2023-05-15,plugin/okta,0.7.0,3
2023-05-16,plugin/okta,0.5.0,86
2023-05-16,plugin/okta,0.6.0,2
2023-05-16,plugin/okta,0.7.0,3
2023-05-17,plugin/okta,0.5.0,86
2023-05-17,plugin/okta,0.6.0,2
2023-05-17,plugin/okta,0.7.0,3
2023-05-18,plugin/okta,0.5.0,86
2023-05-18,plugin/okta,0.6.0,2
2023-05-18,plugin/okta,0.7.0,3
2023-05-19,plugin/okta,0.5.0,86
2023-05-19,plugin/okta,0.6.0,2
2023-05-19,plugin/okta,0.7.0,3
2023-05-20,plugin/okta,0.5.0,86
2023-05-20,plugin/okta,0.6.0,2
2023-05-20,plugin/okta,0.7.0,4
2023-05-21,plugin/okta,0.5.0,86
2023-05-21,plugin/okta,0.6.0,2
2023-05-21,plugin/okta,0.7.0,4
2023-05-22,plugin/okta,0.5.0,86
2023-05-22,plugin/okta,0.6.0,2
2023-05-22,plugin/okta,0.7.0,4
2023-05-23,plugin/okta,0.5.0,86
2023-05-23,plugin/okta,0.6.0,2
2023-05-23,plugin/okta,0.7.0,17
2023-05-24,plugin/okta,0.5.0,86
2023-05-24,plugin/okta,0.6.0,2
2023-05-24,plugin/okta,0.7.0,18
2023-05-25,plugin/okta,0.5.0,86
2023-05-25,plugin/okta,0.6.0,2
2023-05-25,plugin/okta,0.7.0,18
2023-05-26,plugin/okta,0.5.0,86
2023-05-26,plugin/okta,0.6.0,2
2023-05-26,plugin/okta,0.7.0,18
2023-05-27,plugin/okta,0.5.0,86
2023-05-27,plugin/okta,0.6.0,2
2023-05-27,plugin/okta,0.7.0,18
2023-05-28,plugin/okta,0.5.0,86
2023-05-28,plugin/okta,0.6.0,2
2023-05-28,plugin/okta,0.7.0,18
2023-05-29,plugin/okta,0.5.0,86
2023-05-29,plugin/okta,0.6.0,2
2023-05-29,plugin/okta,0.7.0,18
2023-05-30,plugin/okta,0.5.0,86
2023-05-30,plugin/okta,0.6.0,2
2023-05-30,plugin/okta,0.7.0,18
2023-05-31,plugin/okta,0.5.0,86
2023-05-31,plugin/okta,0.6.0,2
2023-05-31,plugin/okta,0.7.0,18
2023-06-01,plugin/okta,0.5.0,86
2023-06-01,plugin/okta,0.6.0,2
2023-06-01,plugin/okta,0.7.0,18
2023-06-02,plugin/okta,0.5.0,86
2023-06-02,plugin/okta,0.6.0,2
2023-06-02,plugin/okta,0.7.0,18
2023-06-03,plugin/okta,0.5.0,86
2023-06-03,plugin/okta,0.6.0,2
2023-06-03,plugin/okta,0.7.0,18
2023-06-04,plugin/okta,0.5.0,86
2023-06-04,plugin/okta,0.6.0,2
2023-06-04,plugin/okta,0.7.0,18
2023-06-05,plugin/okta,0.5.0,86
2023-06-05,plugin/okta,0.6.0,2
2023-06-05,plugin/okta,0.7.0,18
2023-06-06,plugin/okta,0.5.0,86
2023-06-06,plugin/okta,0.6.0,2
2023-06-06,plugin/okta,0.7.0,18
2023-06-07,plugin/okta,0.5.0,86
2023-06-07,plugin/okta,0.6.0,2
2023-06-07,plugin/okta,0.7.0,18
