Date,Package,Version,Count
2023-09-28,rules/falco-incubating-rules,2.0.0,811
2023-09-28,rules/falco-incubating-rules,2.0.0-rc1,31
2023-09-29,rules/falco-incubating-rules,2.0.0,14
2023-09-29,rules/falco-incubating-rules,2.0.0-rc1,31
2023-09-30,rules/falco-incubating-rules,2.0.0,48
2023-09-30,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-01,rules/falco-incubating-rules,2.0.0,85
2023-10-01,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-02,rules/falco-incubating-rules,2.0.0,119
2023-10-02,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-03,rules/falco-incubating-rules,2.0.0,1297
2023-10-03,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-04,rules/falco-incubating-rules,2.0.0,3151
2023-10-04,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-05,rules/falco-incubating-rules,2.0.0,5123
2023-10-05,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-06,rules/falco-incubating-rules,2.0.0,7048
2023-10-06,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-07,rules/falco-incubating-rules,2.0.0,8975
2023-10-07,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-08,rules/falco-incubating-rules,2.0.0,10
2023-10-08,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-09,rules/falco-incubating-rules,2.0.0,12
2023-10-09,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-10,rules/falco-incubating-rules,2.0.0,14
2023-10-10,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-11,rules/falco-incubating-rules,2.0.0,16
2023-10-11,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-12,rules/falco-incubating-rules,2.0.0,18
2023-10-12,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-13,rules/falco-incubating-rules,2.0.0,20
2023-10-13,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-14,rules/falco-incubating-rules,2.0.0,22
2023-10-14,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-15,rules/falco-incubating-rules,2.0.0,24
2023-10-15,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-16,rules/falco-incubating-rules,2.0.0,26
2023-10-16,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-17,rules/falco-incubating-rules,2.0.0,28
2023-10-17,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-18,rules/falco-incubating-rules,2.0.0,30
2023-10-18,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-19,rules/falco-incubating-rules,2.0.0,32
2023-10-19,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-20,rules/falco-incubating-rules,2.0.0,34
2023-10-20,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-21,rules/falco-incubating-rules,2.0.0,36
2023-10-21,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-22,rules/falco-incubating-rules,2.0.0,38
2023-10-22,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-23,rules/falco-incubating-rules,2.0.0,40
2023-10-23,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-24,rules/falco-incubating-rules,2.0.0,42
2023-10-24,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-25,rules/falco-incubating-rules,2.0.0,44
2023-10-25,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-26,rules/falco-incubating-rules,2.0.0,46
2023-10-26,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-27,rules/falco-incubating-rules,2.0.0,48
2023-10-27,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-28,rules/falco-incubating-rules,2.0.0,50
2023-10-28,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-29,rules/falco-incubating-rules,2.0.0,52
2023-10-29,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-30,rules/falco-incubating-rules,2.0.0,54
2023-10-30,rules/falco-incubating-rules,2.0.0-rc1,31
2023-10-31,rules/falco-incubating-rules,2.0.0,57
2023-10-31,rules/falco-incubating-rules,2.0.0-rc1,31
2023-11-01,rules/falco-incubating-rules,2.0.0,59
2023-11-01,rules/falco-incubating-rules,2.0.0-rc1,31
2023-11-02,rules/falco-incubating-rules,2.0.0,61
