Date,Package,Version,Count
2023-03-29,ruleset/cloudtrail,0.7.0,703
2023-03-30,ruleset/cloudtrail,0.7.0,727
2023-03-31,ruleset/cloudtrail,0.7.0,751
2023-03-31,ruleset/cloudtrail,0.7.1,25
2023-04-01,ruleset/cloudtrail,0.7.0,751
2023-04-01,ruleset/cloudtrail,0.7.1,25
2023-04-02,ruleset/cloudtrail,0.7.0,751
2023-04-02,ruleset/cloudtrail,0.7.1,25
2023-04-03,ruleset/cloudtrail,0.7.0,751
2023-04-03,ruleset/cloudtrail,0.7.1,25
2023-04-04,ruleset/cloudtrail,0.7.0,751
2023-04-04,ruleset/cloudtrail,0.7.1,45
2023-04-05,ruleset/cloudtrail,0.7.0,751
2023-04-05,ruleset/cloudtrail,0.7.1,51
2023-04-06,ruleset/cloudtrail,0.7.0,751
2023-04-06,ruleset/cloudtrail,0.7.1,63
2023-04-07,ruleset/cloudtrail,0.7.0,751
2023-04-07,ruleset/cloudtrail,0.7.1,87
2023-04-08,ruleset/cloudtrail,0.7.0,751
2023-04-08,ruleset/cloudtrail,0.7.1,94
2023-04-09,ruleset/cloudtrail,0.7.0,751
2023-04-09,ruleset/cloudtrail,0.7.1,94
2023-04-10,ruleset/cloudtrail,0.7.0,751
2023-04-10,ruleset/cloudtrail,0.7.1,94
2023-04-11,ruleset/cloudtrail,0.7.0,751
2023-04-11,ruleset/cloudtrail,0.7.1,94
2023-04-12,ruleset/cloudtrail,0.7.0,751
2023-04-12,ruleset/cloudtrail,0.7.1,94
2023-04-13,ruleset/cloudtrail,0.7.0,751
2023-04-13,ruleset/cloudtrail,0.7.1,114
2023-04-13,ruleset/cloudtrail,0.7.2,25
2023-04-14,ruleset/cloudtrail,0.7.0,751
2023-04-14,ruleset/cloudtrail,0.7.1,115
2023-04-14,ruleset/cloudtrail,0.7.2,25
2023-04-14,ruleset/cloudtrail,0.7.3,27
2023-04-15,ruleset/cloudtrail,0.7.0,751
2023-04-15,ruleset/cloudtrail,0.7.1,115
2023-04-15,ruleset/cloudtrail,0.7.2,25
2023-04-15,ruleset/cloudtrail,0.7.3,27
2023-04-16,ruleset/cloudtrail,0.7.0,751
2023-04-16,ruleset/cloudtrail,0.7.1,115
2023-04-16,ruleset/cloudtrail,0.7.2,25
2023-04-16,ruleset/cloudtrail,0.7.3,27
2023-04-17,ruleset/cloudtrail,0.7.0,751
2023-04-17,ruleset/cloudtrail,0.7.1,115
2023-04-17,ruleset/cloudtrail,0.7.2,25
2023-04-17,ruleset/cloudtrail,0.7.3,27
2023-04-18,ruleset/cloudtrail,0.7.0,751
2023-04-18,ruleset/cloudtrail,0.7.1,115
2023-04-18,ruleset/cloudtrail,0.7.2,25
2023-04-18,ruleset/cloudtrail,0.7.3,27
2023-04-19,ruleset/cloudtrail,0.7.0,751
2023-04-19,ruleset/cloudtrail,0.7.1,115
2023-04-19,ruleset/cloudtrail,0.7.2,25
2023-04-19,ruleset/cloudtrail,0.7.3,27
2023-04-20,ruleset/cloudtrail,0.7.0,751
2023-04-20,ruleset/cloudtrail,0.7.1,115
2023-04-20,ruleset/cloudtrail,0.7.2,25
2023-04-20,ruleset/cloudtrail,0.7.3,27
2023-04-21,ruleset/cloudtrail,0.7.0,751
2023-04-21,ruleset/cloudtrail,0.7.1,115
2023-04-21,ruleset/cloudtrail,0.7.2,25
2023-04-21,ruleset/cloudtrail,0.7.3,27
2023-04-22,ruleset/cloudtrail,0.7.0,772
2023-04-22,ruleset/cloudtrail,0.7.1,115
2023-04-22,ruleset/cloudtrail,0.7.2,25
2023-04-22,ruleset/cloudtrail,0.7.3,27
2023-04-23,ruleset/cloudtrail,0.7.0,772
2023-04-23,ruleset/cloudtrail,0.7.1,115
2023-04-23,ruleset/cloudtrail,0.7.2,25
2023-04-23,ruleset/cloudtrail,0.7.3,27
2023-04-24,ruleset/cloudtrail,0.7.0,772
2023-04-24,ruleset/cloudtrail,0.7.1,115
