Date,Package,Version,Count
2023-03-29,ruleset/github,0.5.0,35
2023-03-30,ruleset/github,0.5.0,35
2023-03-31,ruleset/github,0.5.0,35
2023-03-31,ruleset/github,0.5.1,1
2023-04-01,ruleset/github,0.5.0,35
2023-04-01,ruleset/github,0.5.1,1
2023-04-02,ruleset/github,0.5.0,35
2023-04-02,ruleset/github,0.5.1,1
2023-04-03,ruleset/github,0.5.0,35
2023-04-03,ruleset/github,0.5.1,1
2023-04-04,ruleset/github,0.5.0,35
2023-04-04,ruleset/github,0.5.1,1
2023-04-05,ruleset/github,0.5.0,35
2023-04-05,ruleset/github,0.5.1,1
2023-04-06,ruleset/github,0.5.0,35
2023-04-06,ruleset/github,0.5.1,1
2023-04-07,ruleset/github,0.5.0,35
2023-04-07,ruleset/github,0.5.1,1
2023-04-08,ruleset/github,0.5.0,35
2023-04-08,ruleset/github,0.5.1,1
2023-04-09,ruleset/github,0.5.0,35
2023-04-09,ruleset/github,0.5.1,1
2023-04-10,ruleset/github,0.5.0,35
2023-04-10,ruleset/github,0.5.1,1
2023-04-11,ruleset/github,0.5.0,35
2023-04-11,ruleset/github,0.5.1,1
2023-04-12,ruleset/github,0.5.0,35
2023-04-12,ruleset/github,0.5.1,1
2023-04-13,ruleset/github,0.5.0,35
2023-04-13,ruleset/github,0.5.1,1
2023-04-13,ruleset/github,0.5.2,1
2023-04-14,ruleset/github,0.5.0,35
2023-04-14,ruleset/github,0.5.1,8
2023-04-14,ruleset/github,0.5.2,14
2023-04-15,ruleset/github,0.5.0,35
2023-04-15,ruleset/github,0.5.1,8
2023-04-15,ruleset/github,0.5.2,14
2023-04-16,ruleset/github,0.5.0,35
2023-04-16,ruleset/github,0.5.1,8
2023-04-16,ruleset/github,0.5.2,14
2023-04-17,ruleset/github,0.5.0,35
2023-04-17,ruleset/github,0.5.1,8
2023-04-17,ruleset/github,0.5.2,14
2023-04-18,ruleset/github,0.5.0,35
2023-04-18,ruleset/github,0.5.1,8
2023-04-18,ruleset/github,0.5.2,14
2023-04-19,ruleset/github,0.5.0,35
2023-04-19,ruleset/github,0.5.1,9
2023-04-19,ruleset/github,0.5.2,14
2023-04-20,ruleset/github,0.5.0,35
2023-04-20,ruleset/github,0.5.1,11
2023-04-20,ruleset/github,0.5.2,14
2023-04-21,ruleset/github,0.5.0,35
2023-04-21,ruleset/github,0.5.1,11
2023-04-21,ruleset/github,0.5.2,14
2023-04-22,ruleset/github,0.5.0,35
2023-04-22,ruleset/github,0.5.1,12
2023-04-22,ruleset/github,0.5.2,14
2023-04-23,ruleset/github,0.5.0,35
2023-04-23,ruleset/github,0.5.1,12
2023-04-23,ruleset/github,0.5.2,43
2023-04-24,ruleset/github,0.5.0,35
2023-04-24,ruleset/github,0.5.1,12
2023-04-24,ruleset/github,0.5.2,63
2023-04-25,ruleset/github,0.5.0,35
2023-04-25,ruleset/github,0.5.1,12
2023-04-25,ruleset/github,0.5.2,83
2023-04-26,ruleset/github,0.5.0,35
2023-04-26,ruleset/github,0.5.1,12
2023-04-26,ruleset/github,0.5.2,103
2023-04-27,ruleset/github,0.5.0,35
2023-04-27,ruleset/github,0.5.1,12
2023-04-27,ruleset/github,0.5.2,123
2023-04-28,ruleset/github,0.5.0,35
2023-04-28,ruleset/github,0.5.1,12
2023-04-28,ruleset/github,0.5.2,145
2023-04-29,ruleset/github,0.5.0,35
2023-04-29,ruleset/github,0.5.1,12
2023-04-29,ruleset/github,0.5.2,168
2023-04-30,ruleset/github,0.5.0,35
2023-04-30,ruleset/github,0.5.1,12
2023-04-30,ruleset/github,0.5.2,188
2023-05-01,ruleset/github,0.5.0,35
2023-05-01,ruleset/github,0.5.1,12
2023-05-01,ruleset/github,0.5.2,202
2023-05-02,ruleset/github,0.5.0,35
2023-05-02,ruleset/github,0.5.1,12
2023-05-02,ruleset/github,0.5.2,202
2023-05-03,ruleset/github,0.5.0,35
2023-05-03,ruleset/github,0.5.1,12
2023-05-03,ruleset/github,0.5.2,202
2023-05-04,ruleset/github,0.5.0,35
2023-05-04,ruleset/github,0.5.1,12
2023-05-04,ruleset/github,0.5.2,202
2023-05-05,ruleset/github,0.5.0,35
2023-05-05,ruleset/github,0.5.1,12
2023-05-05,ruleset/github,0.5.2,204
2023-05-06,ruleset/github,0.5.0,35
2023-05-06,ruleset/github,0.5.1,12
2023-05-06,ruleset/github,0.5.2,204
2023-05-07,ruleset/github,0.5.0,35
2023-05-07,ruleset/github,0.5.1,12
2023-05-07,ruleset/github,0.5.2,204
2023-05-08,ruleset/github,0.5.0,35
2023-05-08,ruleset/github,0.5.1,12
2023-05-08,ruleset/github,0.5.2,204
2023-05-09,ruleset/github,0.5.0,35
2023-05-09,ruleset/github,0.5.1,12
2023-05-09,ruleset/github,0.5.2,204
2023-05-10,ruleset/github,0.5.0,35
2023-05-10,ruleset/github,0.5.1,12
2023-05-10,ruleset/github,0.5.2,204
2023-05-11,ruleset/github,0.5.0,35
2023-05-11,ruleset/github,0.5.1,12
2023-05-11,ruleset/github,0.5.2,204
2023-05-12,ruleset/github,0.5.0,35
2023-05-12,ruleset/github,0.5.1,12
2023-05-12,ruleset/github,0.5.2,204
2023-05-13,ruleset/github,0.5.0,35
2023-05-13,ruleset/github,0.5.1,12
2023-05-13,ruleset/github,0.5.2,204
2023-05-14,ruleset/github,0.5.0,35
2023-05-14,ruleset/github,0.5.1,12
2023-05-14,ruleset/github,0.5.2,204
2023-05-15,ruleset/github,0.5.0,35
2023-05-15,ruleset/github,0.5.1,12
2023-05-15,ruleset/github,0.5.2,204
2023-05-16,ruleset/github,0.5.0,35
2023-05-16,ruleset/github,0.5.1,12
2023-05-16,ruleset/github,0.5.2,204
2023-05-17,ruleset/github,0.5.0,35
2023-05-17,ruleset/github,0.5.1,12
2023-05-17,ruleset/github,0.5.2,204
2023-05-18,ruleset/github,0.5.0,35
2023-05-18,ruleset/github,0.5.1,12
2023-05-18,ruleset/github,0.5.2,204
2023-05-19,ruleset/github,0.5.0,35
2023-05-19,ruleset/github,0.5.1,12
2023-05-19,ruleset/github,0.5.2,204
2023-05-20,ruleset/github,0.5.0,35
2023-05-20,ruleset/github,0.5.1,12
2023-05-20,ruleset/github,0.5.2,208
2023-05-21,ruleset/github,0.5.0,35
2023-05-21,ruleset/github,0.5.1,12
2023-05-21,ruleset/github,0.5.2,208
2023-05-22,ruleset/github,0.5.0,35
2023-05-22,ruleset/github,0.5.1,12
2023-05-22,ruleset/github,0.5.2,208
2023-05-23,ruleset/github,0.5.0,35
2023-05-23,ruleset/github,0.5.1,12
2023-05-23,ruleset/github,0.5.2,221
2023-05-24,ruleset/github,0.5.0,35
2023-05-24,ruleset/github,0.5.1,12
2023-05-24,ruleset/github,0.5.2,222
2023-05-25,ruleset/github,0.5.0,35
2023-05-25,ruleset/github,0.5.1,12
2023-05-25,ruleset/github,0.5.2,222
2023-05-26,ruleset/github,0.5.0,35
2023-05-26,ruleset/github,0.5.1,12
2023-05-26,ruleset/github,0.5.2,222
2023-05-27,ruleset/github,0.5.0,35
2023-05-27,ruleset/github,0.5.1,12
2023-05-27,ruleset/github,0.5.2,222
2023-05-28,ruleset/github,0.5.0,35
2023-05-28,ruleset/github,0.5.1,12
2023-05-28,ruleset/github,0.5.2,222
2023-05-29,ruleset/github,0.5.0,35
2023-05-29,ruleset/github,0.5.1,12
2023-05-29,ruleset/github,0.5.2,222
2023-05-30,ruleset/github,0.5.0,35
2023-05-30,ruleset/github,0.5.1,12
2023-05-30,ruleset/github,0.5.2,222
2023-05-31,ruleset/github,0.5.0,35
