Date,Package,Version,Count
2023-03-29,ruleset/k8saudit,0.5.0,236186
2023-03-29,ruleset/k8saudit,0.5.0,237808
2023-03-30,ruleset/k8saudit,0.5.0,243287
2023-03-31,ruleset/k8saudit,0.5.0,252513
2023-03-31,ruleset/k8saudit,0.5.1,9350
2023-04-01,ruleset/k8saudit,0.5.0,253656
2023-04-01,ruleset/k8saudit,0.5.1,21301
2023-04-02,ruleset/k8saudit,0.5.0,253737
2023-04-02,ruleset/k8saudit,0.5.1,27036
2023-04-03,ruleset/k8saudit,0.5.0,254085
2023-04-03,ruleset/k8saudit,0.5.1,33540
2023-04-04,ruleset/k8saudit,0.5.0,255579
2023-04-04,ruleset/k8saudit,0.5.1,47715
2023-04-05,ruleset/k8saudit,0.5.0,256764
2023-04-05,ruleset/k8saudit,0.5.1,62324
2023-04-06,ruleset/k8saudit,0.5.0,258069
2023-04-06,ruleset/k8saudit,0.5.1,82164
2023-04-07,ruleset/k8saudit,0.5.0,259272
2023-04-07,ruleset/k8saudit,0.5.1,101141
2023-04-08,ruleset/k8saudit,0.5.0,260199
2023-04-08,ruleset/k8saudit,0.5.1,115737
2023-04-09,ruleset/k8saudit,0.5.0,260673
2023-04-09,ruleset/k8saudit,0.5.1,123311
2023-04-10,ruleset/k8saudit,0.5.0,260883
2023-04-10,ruleset/k8saudit,0.5.1,131667
2023-04-11,ruleset/k8saudit,0.5.0,261600
2023-04-11,ruleset/k8saudit,0.5.1,143741
2023-04-12,ruleset/k8saudit,0.5.0,262620
2023-04-12,ruleset/k8saudit,0.5.1,159764
2023-04-13,ruleset/k8saudit,0.5.0,263586
2023-04-13,ruleset/k8saudit,0.5.1,167362
2023-04-13,ruleset/k8saudit,0.5.2,9723
2023-04-14,ruleset/k8saudit,0.5.0,270874
2023-04-14,ruleset/k8saudit,0.5.1,167368
2023-04-14,ruleset/k8saudit,0.5.2,12020
2023-04-14,ruleset/k8saudit,0.5.3,6886
2023-04-15,ruleset/k8saudit,0.5.0,276022
2023-04-15,ruleset/k8saudit,0.5.1,167372
2023-04-15,ruleset/k8saudit,0.5.2,12388
2023-04-15,ruleset/k8saudit,0.5.3,12228
2023-04-16,ruleset/k8saudit,0.5.0,277800
2023-04-16,ruleset/k8saudit,0.5.1,167376
2023-04-16,ruleset/k8saudit,0.5.2,13363
2023-04-16,ruleset/k8saudit,0.5.3,14932
2023-04-17,ruleset/k8saudit,0.5.0,279882
2023-04-17,ruleset/k8saudit,0.5.1,167380
2023-04-17,ruleset/k8saudit,0.5.2,13687
2023-04-17,ruleset/k8saudit,0.5.3,17533
2023-04-18,ruleset/k8saudit,0.5.0,287404
2023-04-18,ruleset/k8saudit,0.5.1,167384
2023-04-18,ruleset/k8saudit,0.5.2,14618
2023-04-18,ruleset/k8saudit,0.5.3,23554
2023-04-19,ruleset/k8saudit,0.5.0,294868
2023-04-19,ruleset/k8saudit,0.5.1,167433
2023-04-19,ruleset/k8saudit,0.5.2,15095
2023-04-19,ruleset/k8saudit,0.5.3,32227
2023-04-20,ruleset/k8saudit,0.5.0,303972
2023-04-20,ruleset/k8saudit,0.5.1,167437
2023-04-20,ruleset/k8saudit,0.5.2,15456
2023-04-20,ruleset/k8saudit,0.5.3,39272
2023-04-21,ruleset/k8saudit,0.5.0,310860
2023-04-21,ruleset/k8saudit,0.5.1,167441
2023-04-21,ruleset/k8saudit,0.5.2,15764
2023-04-21,ruleset/k8saudit,0.5.3,45584
2023-04-22,ruleset/k8saudit,0.5.0,317897
2023-04-22,ruleset/k8saudit,0.5.1,167445
2023-04-22,ruleset/k8saudit,0.5.2,16148
2023-04-22,ruleset/k8saudit,0.5.3,52511
2023-04-23,ruleset/k8saudit,0.5.0,318831
2023-04-23,ruleset/k8saudit,0.5.1,167449
2023-04-23,ruleset/k8saudit,0.5.2,16479
2023-04-23,ruleset/k8saudit,0.5.3,58377
2023-04-24,ruleset/k8saudit,0.5.0,320528
2023-04-24,ruleset/k8saudit,0.5.1,167453
2023-04-24,ruleset/k8saudit,0.5.2,16803
2023-04-24,ruleset/k8saudit,0.5.3,63899
2023-04-25,ruleset/k8saudit,0.5.0,328811
2023-04-25,ruleset/k8saudit,0.5.1,167464
2023-04-25,ruleset/k8saudit,0.5.2,17743
2023-04-25,ruleset/k8saudit,0.5.3,71152
2023-04-26,ruleset/k8saudit,0.5.0,336182
2023-04-26,ruleset/k8saudit,0.5.1,167468
2023-04-26,ruleset/k8saudit,0.5.2,18209
2023-04-26,ruleset/k8saudit,0.5.3,76904
2023-04-27,ruleset/k8saudit,0.5.0,342619
2023-04-27,ruleset/k8saudit,0.5.1,167487
2023-04-27,ruleset/k8saudit,0.5.2,18555
2023-04-27,ruleset/k8saudit,0.5.3,82036
2023-04-28,ruleset/k8saudit,0.5.0,351099
2023-04-28,ruleset/k8saudit,0.5.1,167491
2023-04-28,ruleset/k8saudit,0.5.2,18824
2023-04-28,ruleset/k8saudit,0.5.3,88493
2023-04-29,ruleset/k8saudit,0.5.0,357569
2023-04-29,ruleset/k8saudit,0.5.1,167495
2023-04-29,ruleset/k8saudit,0.5.2,19108
2023-04-29,ruleset/k8saudit,0.5.3,97771
2023-04-30,ruleset/k8saudit,0.5.0,358874
2023-04-30,ruleset/k8saudit,0.5.1,167499
2023-04-30,ruleset/k8saudit,0.5.2,19416
2023-04-30,ruleset/k8saudit,0.5.3,106696
2023-05-01,ruleset/k8saudit,0.5.0,361332
2023-05-01,ruleset/k8saudit,0.5.1,167503
2023-05-01,ruleset/k8saudit,0.5.2,19684
2023-05-01,ruleset/k8saudit,0.5.3,112099
2023-05-02,ruleset/k8saudit,0.5.0,365769
2023-05-02,ruleset/k8saudit,0.5.1,167507
2023-05-02,ruleset/k8saudit,0.5.2,20080
2023-05-02,ruleset/k8saudit,0.5.3,124443
2023-05-03,ruleset/k8saudit,0.5.0,372437
2023-05-03,ruleset/k8saudit,0.5.1,167511
2023-05-03,ruleset/k8saudit,0.5.2,20348
2023-05-03,ruleset/k8saudit,0.5.3,140193
2023-05-04,ruleset/k8saudit,0.5.0,377838
2023-05-04,ruleset/k8saudit,0.5.1,167515
2023-05-04,ruleset/k8saudit,0.5.2,20673
2023-05-04,ruleset/k8saudit,0.5.3,169061
2023-05-05,ruleset/k8saudit,0.5.0,386644
2023-05-05,ruleset/k8saudit,0.5.1,167519
2023-05-05,ruleset/k8saudit,0.5.2,20969
2023-05-05,ruleset/k8saudit,0.5.3,185325
2023-05-06,ruleset/k8saudit,0.5.0,392442
2023-05-06,ruleset/k8saudit,0.5.1,167523
2023-05-06,ruleset/k8saudit,0.5.2,21324
2023-05-06,ruleset/k8saudit,0.5.3,197350
2023-05-07,ruleset/k8saudit,0.5.0,393590
2023-05-07,ruleset/k8saudit,0.5.1,167527
2023-05-07,ruleset/k8saudit,0.5.2,21659
2023-05-07,ruleset/k8saudit,0.5.3,205829
2023-05-08,ruleset/k8saudit,0.5.0,394855
2023-05-08,ruleset/k8saudit,0.5.1,167531
2023-05-08,ruleset/k8saudit,0.5.2,21923
2023-05-08,ruleset/k8saudit,0.5.3,213546
2023-05-09,ruleset/k8saudit,0.5.0,397372
2023-05-09,ruleset/k8saudit,0.5.1,167535
2023-05-09,ruleset/k8saudit,0.5.2,22345
2023-05-09,ruleset/k8saudit,0.5.3,234587
2023-05-10,ruleset/k8saudit,0.5.0,403688
2023-05-10,ruleset/k8saudit,0.5.1,167539
2023-05-10,ruleset/k8saudit,0.5.2,22878
2023-05-10,ruleset/k8saudit,0.5.3,251959
2023-05-11,ruleset/k8saudit,0.5.0,409894
2023-05-11,ruleset/k8saudit,0.5.1,167543
2023-05-11,ruleset/k8saudit,0.5.2,23207
2023-05-11,ruleset/k8saudit,0.5.3,270158
2023-05-12,ruleset/k8saudit,0.5.0,415850
2023-05-12,ruleset/k8saudit,0.5.1,167547
2023-05-12,ruleset/k8saudit,0.5.2,24502
2023-05-12,ruleset/k8saudit,0.5.3,292659
2023-05-13,ruleset/k8saudit,0.5.0,420624
2023-05-13,ruleset/k8saudit,0.5.1,167551
2023-05-13,ruleset/k8saudit,0.5.2,26056
2023-05-13,ruleset/k8saudit,0.5.3,308932
2023-05-14,ruleset/k8saudit,0.5.0,421813
2023-05-14,ruleset/k8saudit,0.5.1,167555
2023-05-14,ruleset/k8saudit,0.5.2,26431
2023-05-14,ruleset/k8saudit,0.5.3,316908
2023-05-15,ruleset/k8saudit,0.5.0,423298
2023-05-15,ruleset/k8saudit,0.5.1,167559
2023-05-15,ruleset/k8saudit,0.5.2,27280
2023-05-15,ruleset/k8saudit,0.5.3,324921
2023-05-16,ruleset/k8saudit,0.5.0,429006
2023-05-16,ruleset/k8saudit,0.5.1,167563
2023-05-16,ruleset/k8saudit,0.5.2,27784
2023-05-16,ruleset/k8saudit,0.5.3,340167
2023-05-17,ruleset/k8saudit,0.5.0,436540
2023-05-17,ruleset/k8saudit,0.5.1,167567
2023-05-17,ruleset/k8saudit,0.5.2,30929
2023-05-17,ruleset/k8saudit,0.5.3,356962
2023-05-18,ruleset/k8saudit,0.5.0,441890
2023-05-18,ruleset/k8saudit,0.5.1,167571
2023-05-18,ruleset/k8saudit,0.5.2,31591
2023-05-18,ruleset/k8saudit,0.5.3,376319
2023-05-19,ruleset/k8saudit,0.5.0,444803
2023-05-19,ruleset/k8saudit,0.5.1,167575
2023-05-19,ruleset/k8saudit,0.5.2,31863
2023-05-19,ruleset/k8saudit,0.5.3,390816
2023-05-20,ruleset/k8saudit,0.5.0,449039
2023-05-20,ruleset/k8saudit,0.5.1,167579
2023-05-20,ruleset/k8saudit,0.5.2,32185
2023-05-20,ruleset/k8saudit,0.5.3,409674
2023-05-21,ruleset/k8saudit,0.5.0,449943
2023-05-21,ruleset/k8saudit,0.5.1,167583
2023-05-21,ruleset/k8saudit,0.5.2,32473
2023-05-21,ruleset/k8saudit,0.5.3,419612
2023-05-22,ruleset/k8saudit,0.5.0,451155
2023-05-22,ruleset/k8saudit,0.5.1,167587
2023-05-22,ruleset/k8saudit,0.5.2,32745
2023-05-22,ruleset/k8saudit,0.5.3,430891
2023-05-23,ruleset/k8saudit,0.5.0,456488
2023-05-23,ruleset/k8saudit,0.5.1,167591
2023-05-23,ruleset/k8saudit,0.5.2,33182
2023-05-23,ruleset/k8saudit,0.5.3,459359
2023-05-24,ruleset/k8saudit,0.5.0,461181
2023-05-24,ruleset/k8saudit,0.5.1,167595
2023-05-24,ruleset/k8saudit,0.5.2,33483
2023-05-24,ruleset/k8saudit,0.5.3,485313
2023-05-25,ruleset/k8saudit,0.5.0,466631
2023-05-25,ruleset/k8saudit,0.5.1,167599
2023-05-25,ruleset/k8saudit,0.5.2,33802
2023-05-25,ruleset/k8saudit,0.5.3,510170
2023-05-26,ruleset/k8saudit,0.5.0,475371
2023-05-26,ruleset/k8saudit,0.5.1,167603
2023-05-26,ruleset/k8saudit,0.5.2,34065
2023-05-26,ruleset/k8saudit,0.5.3,534248
2023-05-27,ruleset/k8saudit,0.5.0,480167
2023-05-27,ruleset/k8saudit,0.5.1,167607
2023-05-27,ruleset/k8saudit,0.5.2,34344
2023-05-27,ruleset/k8saudit,0.5.3,552575
2023-05-28,ruleset/k8saudit,0.5.0,481308
2023-05-28,ruleset/k8saudit,0.5.1,167611
2023-05-28,ruleset/k8saudit,0.5.2,34657
2023-05-28,ruleset/k8saudit,0.5.3,564403
2023-05-29,ruleset/k8saudit,0.5.0,483161
2023-05-29,ruleset/k8saudit,0.5.1,167615
2023-05-29,ruleset/k8saudit,0.5.2,34921
2023-05-29,ruleset/k8saudit,0.5.3,575677
2023-05-30,ruleset/k8saudit,0.5.0,485441
2023-05-30,ruleset/k8saudit,0.5.1,167619
2023-05-30,ruleset/k8saudit,0.5.2,35303
2023-05-30,ruleset/k8saudit,0.5.3,592519
2023-05-31,ruleset/k8saudit,0.5.0,492510
2023-05-31,ruleset/k8saudit,0.5.1,167623
2023-05-31,ruleset/k8saudit,0.5.2,35791
2023-05-31,ruleset/k8saudit,0.5.3,622172
