Date,Package,Version,Count
2023-03-29,ruleset/okta,0.5.0,83
2023-03-30,ruleset/okta,0.5.0,83
2023-03-31,ruleset/okta,0.5.0,83
2023-03-31,ruleset/okta,0.6.0,1
2023-04-01,ruleset/okta,0.5.0,83
2023-04-01,ruleset/okta,0.6.0,1
2023-04-02,ruleset/okta,0.5.0,83
2023-04-02,ruleset/okta,0.6.0,1
2023-04-03,ruleset/okta,0.5.0,83
2023-04-03,ruleset/okta,0.6.0,1
2023-04-04,ruleset/okta,0.5.0,83
2023-04-04,ruleset/okta,0.6.0,3
2023-04-05,ruleset/okta,0.5.0,83
2023-04-05,ruleset/okta,0.6.0,3
2023-04-06,ruleset/okta,0.5.0,83
2023-04-06,ruleset/okta,0.6.0,3
2023-04-07,ruleset/okta,0.5.0,83
2023-04-07,ruleset/okta,0.6.0,3
2023-04-08,ruleset/okta,0.5.0,83
2023-04-08,ruleset/okta,0.6.0,3
2023-04-09,ruleset/okta,0.5.0,83
2023-04-09,ruleset/okta,0.6.0,3
2023-04-10,ruleset/okta,0.5.0,83
2023-04-10,ruleset/okta,0.6.0,3
2023-04-11,ruleset/okta,0.5.0,83
2023-04-11,ruleset/okta,0.6.0,3
2023-04-12,ruleset/okta,0.5.0,83
2023-04-12,ruleset/okta,0.6.0,3
2023-04-13,ruleset/okta,0.5.0,83
2023-04-13,ruleset/okta,0.6.0,3
2023-04-13,ruleset/okta,0.7.0,1
2023-04-14,ruleset/okta,0.5.0,83
2023-04-14,ruleset/okta,0.6.0,3
2023-04-14,ruleset/okta,0.7.0,1
2023-04-15,ruleset/okta,0.5.0,83
2023-04-15,ruleset/okta,0.6.0,3
2023-04-15,ruleset/okta,0.7.0,1
2023-04-16,ruleset/okta,0.5.0,83
2023-04-16,ruleset/okta,0.6.0,3
2023-04-16,ruleset/okta,0.7.0,1
2023-04-17,ruleset/okta,0.5.0,83
2023-04-17,ruleset/okta,0.6.0,3
2023-04-17,ruleset/okta,0.7.0,1
2023-04-18,ruleset/okta,0.5.0,83
2023-04-18,ruleset/okta,0.6.0,3
2023-04-18,ruleset/okta,0.7.0,1
2023-04-19,ruleset/okta,0.5.0,83
2023-04-19,ruleset/okta,0.6.0,3
2023-04-19,ruleset/okta,0.7.0,1
2023-04-20,ruleset/okta,0.5.0,83
2023-04-20,ruleset/okta,0.6.0,3
2023-04-20,ruleset/okta,0.7.0,1
2023-04-21,ruleset/okta,0.5.0,83
2023-04-21,ruleset/okta,0.6.0,3
2023-04-21,ruleset/okta,0.7.0,1
2023-04-22,ruleset/okta,0.5.0,83
2023-04-22,ruleset/okta,0.6.0,3
2023-04-22,ruleset/okta,0.7.0,1
2023-04-23,ruleset/okta,0.5.0,83
2023-04-23,ruleset/okta,0.6.0,3
2023-04-23,ruleset/okta,0.7.0,1
2023-04-24,ruleset/okta,0.5.0,83
2023-04-24,ruleset/okta,0.6.0,3
2023-04-24,ruleset/okta,0.7.0,1
2023-04-25,ruleset/okta,0.5.0,83
2023-04-25,ruleset/okta,0.6.0,3
2023-04-25,ruleset/okta,0.7.0,1
2023-04-26,ruleset/okta,0.5.0,83
2023-04-26,ruleset/okta,0.6.0,3
2023-04-26,ruleset/okta,0.7.0,1
2023-04-27,ruleset/okta,0.5.0,83
2023-04-27,ruleset/okta,0.6.0,3
2023-04-27,ruleset/okta,0.7.0,1
2023-04-28,ruleset/okta,0.5.0,83
2023-04-28,ruleset/okta,0.6.0,3
2023-04-28,ruleset/okta,0.7.0,1
2023-04-29,ruleset/okta,0.5.0,83
2023-04-29,ruleset/okta,0.6.0,3
2023-04-29,ruleset/okta,0.7.0,1
2023-04-30,ruleset/okta,0.5.0,83
2023-04-30,ruleset/okta,0.6.0,3
2023-04-30,ruleset/okta,0.7.0,1
2023-05-01,ruleset/okta,0.5.0,83
