Date,Package,Version,Count
2023-04-13T06:18:08Z,plugin/dummy,0.8.2,5
2023-04-14T06:18:10Z,plugin/dummy,0.8.2,23
2023-04-15T06:16:48Z,plugin/dummy,0.8.2,23
2023-04-16T06:16:56Z,plugin/dummy,0.8.2,23
2023-04-17T06:18:37Z,plugin/dummy,0.8.2,23
2023-04-18T06:18:33Z,plugin/dummy,0.8.2,23
2023-04-19T06:18:25Z,plugin/dummy,0.8.2,23
2023-04-20T06:18:14Z,plugin/dummy,0.8.2,23
2023-04-21T06:18:13Z,plugin/dummy,0.8.2,23
2023-04-22T06:17:15Z,plugin/dummy,0.8.2,23
2023-04-23T06:17:35Z,plugin/dummy,0.8.2,23
2023-04-24T06:18:45Z,plugin/dummy,0.8.2,29
2023-04-25T06:18:30Z,plugin/dummy,0.8.2,29
2023-04-26T06:17:58Z,plugin/dummy,0.8.2,29
2023-04-27T06:18:29Z,plugin/dummy,0.8.2,29
2023-04-28T06:18:04Z,plugin/dummy,0.8.2,29
2023-04-29T06:16:46Z,plugin/dummy,0.8.2,29
2023-04-30T06:17:12Z,plugin/dummy,0.8.2,29
2023-05-01T06:18:19Z,plugin/dummy,0.8.2,29
2023-05-02T06:18:17Z,plugin/dummy,0.8.2,29
2023-05-03T06:17:45Z,plugin/dummy,0.8.2,29
2023-05-04T06:18:06Z,plugin/dummy,0.8.2,29
2023-05-05T06:17:48Z,plugin/dummy,0.8.2,31
2023-05-06T06:16:43Z,plugin/dummy,0.8.2,31
2023-05-07T06:17:03Z,plugin/dummy,0.8.2,31
2023-05-08T06:18:02Z,plugin/dummy,0.8.2,31
2023-05-09T06:18:14Z,plugin/dummy,0.8.2,31
2023-05-10T06:18:18Z,plugin/dummy,0.8.2,31
2023-05-11T06:17:44Z,plugin/dummy,0.8.2,31
2023-05-12T06:17:12Z,plugin/dummy,0.8.2,31
2023-05-13T06:16:32Z,plugin/dummy,0.8.2,31
2023-05-14T06:16:34Z,plugin/dummy,0.8.2,31
2023-05-15T06:17:56Z,plugin/dummy,0.8.2,31
2023-05-16T06:17:52Z,plugin/dummy,0.8.2,31
2023-05-17T06:17:33Z,plugin/dummy,0.8.2,31
2023-05-18T06:18:05Z,plugin/dummy,0.8.2,31
2023-05-19T06:17:30Z,plugin/dummy,0.8.2,31
2023-05-20T06:16:31Z,plugin/dummy,0.8.2,44
2023-05-21T06:16:31Z,plugin/dummy,0.8.2,44
2023-05-22T06:18:00Z,plugin/dummy,0.8.2,44
2023-05-23T06:17:44Z,plugin/dummy,0.8.2,57
2023-05-24T06:17:14Z,plugin/dummy,0.8.2,58
2023-05-25T06:17:56Z,plugin/dummy,0.8.2,58
2023-05-26T06:17:21Z,plugin/dummy,0.8.2,58
