Date,Package,Version,Count
2024-06-19T06:21:21Z,plugin/k8saudit-gke,0.3.1,17
2024-06-20T06:20:57Z,plugin/k8saudit-gke,0.3.1,47
2024-06-21T06:21:44Z,plugin/k8saudit-gke,0.3.1,182
2024-06-22T06:20:20Z,plugin/k8saudit-gke,0.3.1,185
2024-06-23T06:20:21Z,plugin/k8saudit-gke,0.3.1,185
2024-06-24T06:21:14Z,plugin/k8saudit-gke,0.3.1,188
2024-06-25T06:21:23Z,plugin/k8saudit-gke,0.3.1,397
2024-06-26T06:22:09Z,plugin/k8saudit-gke,0.3.1,677
2024-06-27T06:21:24Z,plugin/k8saudit-gke,0.3.1,790
2024-06-28T06:21:22Z,plugin/k8saudit-gke,0.3.1,882
2024-06-29T06:19:43Z,plugin/k8saudit-gke,0.3.1,968
2024-06-30T06:20:05Z,plugin/k8saudit-gke,0.3.1,976
2024-07-01T06:23:16Z,plugin/k8saudit-gke,0.3.1,984
