Date,Package,Version,Count
2024-05-07T06:19:44Z,plugin/k8saudit,0.9.0,231
2024-05-08T06:16:50Z,plugin/k8saudit,0.9.0,438
2024-05-09T06:19:28Z,plugin/k8saudit,0.9.0,600
2024-05-10T06:19:04Z,plugin/k8saudit,0.9.0,766
2024-05-11T06:18:03Z,plugin/k8saudit,0.9.0,966
2024-05-12T06:19:06Z,plugin/k8saudit,0.9.0,1126
2024-05-13T06:20:01Z,plugin/k8saudit,0.9.0,1280
2024-05-14T06:21:16Z,plugin/k8saudit,0.9.0,1503
2024-05-15T06:19:28Z,plugin/k8saudit,0.9.0,1663
2024-05-16T06:16:56Z,plugin/k8saudit,0.9.0,1813
2024-05-17T06:19:53Z,plugin/k8saudit,0.9.0,1965
2024-05-18T06:18:17Z,plugin/k8saudit,0.9.0,2121
2024-05-19T06:18:27Z,plugin/k8saudit,0.9.0,2299
2024-05-20T06:20:18Z,plugin/k8saudit,0.9.0,2444
2024-05-21T06:20:40Z,plugin/k8saudit,0.9.0,2628
2024-05-22T06:20:11Z,plugin/k8saudit,0.9.0,2797
2024-05-23T06:21:26Z,plugin/k8saudit,0.9.0,2823
2024-05-24T06:20:36Z,plugin/k8saudit,0.9.0,2824
