Date,Package,Version,Count
2023-09-28T06:18:33Z,rules/falco-sandbox-rules,2.0.0,694
2023-09-29T06:17:53Z,rules/falco-sandbox-rules,2.0.0,804
2023-09-30T06:17:05Z,rules/falco-sandbox-rules,2.0.0,952
2023-10-01T06:17:09Z,rules/falco-sandbox-rules,2.0.0,12
2023-10-02T06:18:33Z,rules/falco-sandbox-rules,2.0.0,12
2023-10-03T06:18:05Z,rules/falco-sandbox-rules,2.0.0,13
2023-10-04T06:18:45Z,rules/falco-sandbox-rules,2.0.0,14
2023-10-05T06:18:12Z,rules/falco-sandbox-rules,2.0.0,22
2023-10-06T06:18:14Z,rules/falco-sandbox-rules,2.0.0,39
2023-10-07T06:16:52Z,rules/falco-sandbox-rules,2.0.0,45
2023-10-08T06:17:21Z,rules/falco-sandbox-rules,2.0.0,49
2023-10-09T06:18:52Z,rules/falco-sandbox-rules,2.0.0,54
2023-10-10T06:18:57Z,rules/falco-sandbox-rules,2.0.0,60
2023-10-11T06:19:22Z,rules/falco-sandbox-rules,2.0.0,64
2023-10-12T06:18:28Z,rules/falco-sandbox-rules,2.0.0,69
2023-10-13T06:19:04Z,rules/falco-sandbox-rules,2.0.0,80
2023-10-14T06:17:20Z,rules/falco-sandbox-rules,2.0.0,85
