Date,Package,Version,Count
2023-06-08T06:17:50Z,ruleset/github,0.6.0,1
2023-06-09T06:17:59Z,ruleset/github,0.6.0,1
2023-06-10T06:16:47Z,ruleset/github,0.6.0,1
2023-06-11T06:16:48Z,ruleset/github,0.6.0,1
2023-06-12T06:18:37Z,ruleset/github,0.6.0,1
2023-06-13T06:17:38Z,ruleset/github,0.6.0,1
2023-06-14T06:17:43Z,ruleset/github,0.6.0,1
2023-06-15T06:18:09Z,ruleset/github,0.6.0,1
2023-06-16T06:18:17Z,ruleset/github,0.6.0,1
2023-06-17T06:16:40Z,ruleset/github,0.6.0,1
2023-06-18T06:16:53Z,ruleset/github,0.6.0,1
2023-06-19T06:18:55Z,ruleset/github,0.6.0,1
2023-06-20T06:18:30Z,ruleset/github,0.6.0,1
2023-06-21T06:17:54Z,ruleset/github,0.6.0,1
2023-06-22T06:17:58Z,ruleset/github,0.6.0,1
2023-06-23T06:21:05Z,ruleset/github,0.6.0,1
2023-06-24T06:19:45Z,ruleset/github,0.6.0,1
2023-06-26T06:21:39Z,ruleset/github,0.6.0,1
2023-06-27T06:20:38Z,ruleset/github,0.6.0,1
2023-06-28T06:20:25Z,ruleset/github,0.6.0,1
2023-06-29T06:20:28Z,ruleset/github,0.6.0,1
2023-06-30T06:19:46Z,ruleset/github,0.6.0,2
2023-07-01T06:18:53Z,ruleset/github,0.6.0,37
2023-07-02T06:18:25Z,ruleset/github,0.6.0,37
2023-07-03T06:21:01Z,ruleset/github,0.6.0,37
2023-07-04T06:21:00Z,ruleset/github,0.6.0,37
2023-07-05T06:21:20Z,ruleset/github,0.6.0,37
2023-07-06T06:21:13Z,ruleset/github,0.6.0,37
2023-07-07T06:20:45Z,ruleset/github,0.6.0,37
2023-07-08T06:18:38Z,ruleset/github,0.6.0,41
2023-07-09T06:18:49Z,ruleset/github,0.6.0,41
2023-07-10T06:21:06Z,ruleset/github,0.6.0,45
2023-07-11T06:19:59Z,ruleset/github,0.6.0,57
2023-07-12T06:19:55Z,ruleset/github,0.6.0,61
2023-07-13T06:20:11Z,ruleset/github,0.6.0,69
2023-07-14T06:20:17Z,ruleset/github,0.6.0,73
2023-07-15T06:18:51Z,ruleset/github,0.6.0,77
2023-07-16T06:18:26Z,ruleset/github,0.6.0,77
2023-07-17T06:20:39Z,ruleset/github,0.6.0,77
2023-07-18T06:18:35Z,ruleset/github,0.6.0,85
2023-07-19T06:18:00Z,ruleset/github,0.6.0,93
2023-07-20T06:18:01Z,ruleset/github,0.6.0,134
2023-07-21T06:18:13Z,ruleset/github,0.6.0,143
2023-07-22T06:16:08Z,ruleset/github,0.6.0,143
2023-07-23T06:16:53Z,ruleset/github,0.6.0,143
2023-07-24T06:18:40Z,ruleset/github,0.6.0,147
2023-07-25T06:17:57Z,ruleset/github,0.6.0,151
2023-07-26T06:17:05Z,ruleset/github,0.6.0,155
2023-07-27T06:17:29Z,ruleset/github,0.6.0,159
2023-07-28T06:17:17Z,ruleset/github,0.6.0,163
2023-07-29T06:15:55Z,ruleset/github,0.6.0,163
2023-07-30T06:15:59Z,ruleset/github,0.6.0,163
2023-07-31T06:17:52Z,ruleset/github,0.6.0,163
2023-08-01T06:19:02Z,ruleset/github,0.6.0,171
2023-08-02T06:17:31Z,ruleset/github,0.6.0,175
2023-08-03T06:17:04Z,ruleset/github,0.6.0,179
2023-08-04T06:17:15Z,ruleset/github,0.6.0,183
2023-08-05T06:15:55Z,ruleset/github,0.6.0,183
