Date,Package,Version,Count
2023-04-13T06:18:08Z,ruleset/k8saudit,0.5.2,9723
2023-04-14T06:18:09Z,ruleset/k8saudit,0.5.2,12020
2023-04-15T06:16:48Z,ruleset/k8saudit,0.5.2,12388
2023-04-16T06:16:56Z,ruleset/k8saudit,0.5.2,13363
2023-04-17T06:18:37Z,ruleset/k8saudit,0.5.2,13687
2023-04-18T06:18:33Z,ruleset/k8saudit,0.5.2,14618
2023-04-19T06:18:25Z,ruleset/k8saudit,0.5.2,15095
2023-04-20T06:18:14Z,ruleset/k8saudit,0.5.2,15456
2023-04-21T06:18:13Z,ruleset/k8saudit,0.5.2,15764
2023-04-22T06:17:15Z,ruleset/k8saudit,0.5.2,16148
